author,count
"Upton, John, 1707-1760.",3
"Dubos, abbé 1670-1742.",1
"Durell, D. 1728-1775.",1
"Smollett, T. (Tobias), 1721-1771.",138
"Young, John, ca. 1750-1820.",1
"Bruckner, John.",1
"Tickell, Richard, 1751-1793. Richardson, Joseph, 1755-1803. Laurence, French, 1757-1809.",1
"Spence, Joseph, 1699-1768.",4
"Horneck, Anthony, 1641-1697.",2
"Rogers, Woodes, d. 1732.",1
"Brown, John, 1715-1766.",7
"Disraeli, Isaac, 1766-1848.",3
"Pratt, Mr. 1749-1814.",11
"Adams, John, 1750?-1814.",1
"Neve, Philip.",2
"Ivernois, Francis d', 1757-1842.",1
"Milles, Tho. 1550?-1627?",1
"Emerson, William, 1701-1782.",20
"Huntington, Robert, 1637-1701.",1
"Gilpin, Richard, 1625-1700.",1
"Twamley, J.",1
"Lewis, Thomas, 1689-1749?",1
"Mountmorres of Castlemorres, Hervey Redmond Morres, Viscount, 1745 or 6-1797. Mallet du Pan, M. (Jacques), 1749-1800. Peyssonnel, M. de (Charles), 1727-1790. Gustav III, King of Sweden, 1746-1792.",1
"Loftus, Smyth.",1
"Cowley, Mrs. 1743-1809.",4
"Du Fresnoy, Charles Alphonse, 1611-1665",2
"Necker, Jacques, 1732-1804.",7
"Sales, J. de 1741-1816.",7
"Lucretius Carus, Titus",1
"Pilon, Frederick, 1750-1788.",1
"Gessner, Salomon, 1730-1788.",4
"Porteus, Beilby, 1731-1809.",5
Great Britain. Parliament. House of Commons,6
Great Britain. Parliament. 1786. House of commons.,1
Great Britain. Parliament. House of Commons.,25
"Caldwell, James, Sir, d. 1784.",6
"Paine, Thomas, 1737-1809.",2
"Harris, Joseph, 1667?-1719.",2
"Strutt, Samuel.",1
"Conybeare, John, 1692-1755.",3
"Hutchinson, Francis, 1661-1739.",2
"Bennet, Benjamin, 1674-1726.",1
"Dummer, Jeremiah, 1681-1739.",1
"Wilson, William, 1690-1741.",1
"Higden, William, 1662 or 3-1715.",2
"Berrow, Capel, 1715-1782.",3
"Boyse, Samuel, 1708-1749.",3
"Bellers, Fettiplace, 1687-1750?",1
"Case, Thomas, 1598-1682.",2
"Clarke, Samuel, 1675-1729.",16
"Greene, Robert, 1678?-1730.",1
Demosthenes.,5
"Stanhope, Eugenia, d. 1783.",1
"Jones, William, 1763-1831.",1
"Magalhães, João Jacinto de, 1722-1790.",1
"Ramsden, J.",1
"Chandler, Mary, 1687-1745.",1
"Frédéric, Colonel, 1725?-1797.",1
"Heely, Joseph.",1
"Douglas, Gawin, 1474?-1522.",1
"Scott, Sarah, 1723-1795.",1
Salisbury Cathedral.,1
"Leigh, Richard, 1649 or 50-1728.",1
"Venuti, Niccolò Marcello, marchese, 1700-1755.",1
"Mountaine, William, d. 1779.",1
"Pembroke, Thomas Herbert, Earl of, 1656-1733.",2
"Geōrgarinēs, Iōsēph, 17th cent.",1
"Bownas, Samuel, 1676-1753.",1
"Stone, Edmund, d. 1768. S., E. E. S.",2
"Beckford, William, d. 1799.",2
"Graham, John A. 1764-1841.",2
"Howel, Laurence, 1664?-1720.",2
"Dodwell, William, 1709-1785.",4
"Marini, Giovanni Ambrogio, 17th cent.",1
Tryphiodorus.,1
"Lambert de Saumery, Pierre, b. ca. 1690.",1
"Foote, Samuel, 1720-1777.",19
"Combe, William, 1742-1823.",8
"Cambridge, Richard Owen, 1717-1802.",6
"Wragg, F",1
"[Stubbes, George] fl 1697-1737.",1
"[Stubbes, George] fl. 1697-1737.",1
"Fordyce, David, 1711-1751.",3
"Barwis, Jackson.",4
"Wieland, Christoph Martin, 1733-1813.",5
"Lucian, of Samosata.",7
Plato.,3
"Vernet, Jacob, 1698-1789.",1
"Hurd, Richard, 1720-1808.",11
"Crook, Samuel, 1575-1649.",1
"Hutton, Charles, 1737-1823.",9
"Dodington, George Bubb, Baron of Melcombe Regis, 1691-1762.",2
"Lambarde, William, 1536-1601.",1
"Barrow, John, teacher of mathematics.",1
"Worlidge, John, fl. 1669-1698, Bailey, N. (Nathan), d. 1742,",2
"Johnson, Samuel, 1709-1784.",150
"Kelham, Robert, 1717-1808.",1
"Fortescue-Aland, John, 1670-1746.",1
"Fortescue, John, Sir, 1394?-1476?",1
"Williams, John, 1636?-1709.",1
"Clagett, William, 1646-1688.",5
"Bond, Thomas, 1712-1784.",1
"Knight, Ellis Cornelia, 1757-1837.",1
"Longinus, 1st cent.",2
"Carter, William.",1
"Battye, Thomas.",1
"Calamy, Benjamin, 1642-1686.",1
"Hascard, Gregory.",1
"Price, Richard, 1723-1791.",11
"Tillotson, John, 1630-1694.",14
"Tenison, Thomas, 1636-1715.",2
"Sharp, John, 1645-1714.",2
"Collins, Anthony, 1676-1729.",1
"Wotton, William, 1666-1727.",4
"Stanley, William, 1647-1731.",1
"Ditton, Humphry, 1675-1715.",5
"Abauzit, M. 1679-1767.",1
"Terrasson, Jean, 1670-1750.",1
"Liverpool, Charles Jenkinson, Earl of, 1727-1808.",2
"Mackintosh, James, Sir, 1765-1832.",2
"Cary, John, d. 1720?",2
"Miller, Samuel, 1769-1850.",1
"Abernethy, John, 1680-1740.",2
"Daniel, Gabriel, 1649-1728.",5
"Foster, James, 1697-1753.",4
"Stennett, Samuel, 1727-1795.",1
"Sidney, Algernon, 1622-1683.",5
Seed J.,2
"Horne, George, 1730-1792.",6
"Gordon, Adam. Sir",2
"Priestley, Joseph, 1733-1804,",1
"Balguy, Thomas, 1716-1795.",1
"Brooke, Ralph, 1553-1625.",1
"Poulter, John.",1
"Leonardo de Argensola, Bartolomé, 1562-1631.",2
"Wilkins, John, 1614-1672.",2
"Perkins, William, 1558-1602.",2
"Adair, James, 1743?-1798.",1
"Garth, Samuel, Sir, 1661-1719.",1
"Gibson, Edmund, 1669-1748.",1
"L'Estrange, Roger, Sir, 1616-1704.",2
"Zouch, Richard, 1590-1661.",1
"Kennicott, Benjamin, 1718-1783.",3
"Chambers, William, Sir, 1723-1796.",1
"Felton, Henry, 1679-1740.",3
"Lowman, Moses, 1680-1752.",2
"Lawson, John, 1723-1779.",1
"Grellmann, Heinrich Moritz Gottlieb, 1756-1804.",1
"Michaelis, Johann David, 1717-1791.",1
"Richardson, John, 1740 or 41-1795.",3
"Lorgna, Anton Maria, 1730-1796.",1
"Holdsworth, E. 1684-1746.",2
"Chambers, William, Sir, 1726-1796. Jones , William , Sir, 1746-1794.",5
"Beattie, James, 1735-1803.",10
"Levi, David, 1740-1799.",5
"Trusler, John, 1735-1820.",3
"Maxwell, James, 1720-1800.",1
"Cheynell, Francis, 1608-1665.",1
"Hardy, Nathaniel, 1618-1670.",1
"Altieri, F.",2
"King, William, 1685-1763.",1
"Simpson, Thomas, 1710-1761.",8
"Moivre, Abraham de, 1667-1754.",1
"Maseres, Francis, 1731-1824,",2
"Hawney, William",1
"Flower, Thomas, 1706-1767.",1
"Phipps, Charles.",1
"W., N., F.L.S. Gibbs, Philip, fl. 1715-1740.",1
"Wilkinson, John, M.D. Henshall, Samuel, 1764?-1807.",1
"Hanway, Jonas, 1712-1786.",16
"Flatman, Thomas, 1637-1688.",3
"Hook, Mr. 1746-1827.",1
"Parker, George, 1654-1743.",1
"Long, Thomas, 1621-1707.",1
"Sayers, F. 1763-1817.",1
"Beaumont, Francis, 1584-1616.",13
"O'Keeffe, John, 1747-1833.",9
"Massinger, Philip, 1583-1640.",3
"Dryden, John, 1631-1700.",34
"Farquhar, George, 1677?-1707.",2
"Rutherford, Samuel, 1600?-1661.",1
"Pope, Alexander, 1688-1744.",44
"Kennett, White, 1660-1728.",5
"Durham, James, 1622-1658.",2
"Campbell, Duncan.",1
"Woodfall, William, 1746-1803.",1
"Papillon, Thomas, 1623-1702.",1
"Ashworth, Caleb, 1722-1775.",1
"Clark, Samuel.",2
"Okeley, William.",4
"Williams, John, 1791-1818.",1
"Mosheim, Johann Lorenz, 1694?-1755.",7
"Skinner, John, 1721-1807.",5
"Bede, the Venerable, Saint, 673-735.",1
"Fosbroke, Thomas Dudley, 1770-1842.",1
"Gregory, G. 1754-1808.",7
"Creech, William, 1745-1815.",2
"Elphinston, James, 1721-1809.",2
"Moore, John, 1729-1802.",21
"Edwards, Anthony, 18th/19th cent.",1
"Williams, Helen Maria, 1762-1827.",4
"Wilkinson, C. H.",1
"Pulteney, William.",2
"Secker, Thomas, 1693-1768.",32
"Marana, Giovanni Paolo, 1642-1693.",30
"Jabet, William.",1
"Straightforward, Timmy, pseud.",1
"Culverwel, Nathanael, d. 1651?",1
"Knox, Vicesimus, 1752-1821.",7
"Gibbons, Thomas, 1720-1785.",3
"Aldrich, Henry, 1647-1710.",1
"Trail, William, 1746-1831.",1
"Hammond, Nathaniel, -1776.",1
"Hammond, Nathaniel",1
"Mole, John, 1743-1827.",1
"Gregory, David, 1659-1708.",4
"Mortimer, Thomas, 1730-1810.",2
"Jack, Richard.",2
"Kames, Henry Home, Lord, 1696-1782.",24
"Walker, John, 1732-1807.",2
Euclid.,10
"Simson, Robert, 1687-1768.",4
"Ingram, Alexander.",1
"Playfair, John, 1748-1819.",1
"Duncan, William, 1717-1760.",3
"Vilant, Nicolas, d. 1807.",1
"West, John, 1756-1817.",1
"Kirwan, Richard, 1733-1812.",2
"Fouroroy, Antoine François de, comte, 1755-1809.",3
"Robertson, J. 1712-1776.",4
"Nares, Robert, 1753-1829.",4
"Earbery, Matthias.",3
"Gore, Henry.",1
"Saldern, Friedrich Christoph von, 1719-1785.",1
"Kersey, John, 1616-1690?",1
"Cramer, Johann Andreas, 1710-1777.",1
"Berthollet, Claude-Louis, 1748-1822.",1
"Willich, A. F. M.",2
"Millar, John, 1760-1796.",1
"Macquer, Pierre Joseph, 1718-1784.",3
"Wright, John, mathematician.",1
"Gravesande, Willem Jacob 's, 1688-1742.",2
"Keill, John, 1671-1721.",7
"Meeke, Mary, d. 1818.",4
"Pope, Alexander, 1688-1744 Tierney, George, 1761-1830, Porson, Richard, 1759-1808,",3
"Quarles, Francis, 1592-1644.",2
"Rousseau, Jean-Jacques, 1712-1778.",5
"Marcus Aurelius, Emperor of Rome, 121-180.",4
Holy Roman Empire. Emperor (1742-1745 : Charles VII),1
Holy Roman Empire. Emperor (1658-1705 : Leopold I),1
"Baker, Henry, 1698-1774.",7
"Encyclopaedia Britannica, inc.",19
"Gleig, George, 1753-1840. MacFarquhar, Colin, ca. 1745-1793.",17
"Gleig, George, 1753-1840, Macfarquhar, Colin, 1745?-1793,",39
"Chapman, John, 1704-1784.",3
"Aikin, John, 1747-1822.",15
"Charles I, King of England, 1600-1649.",1
"Whatley, Stephen, fl. 1712-1741.",5
"Fortrey, Samuel, 1622-1681.",1
"Strong, Nathaniel.",1
"Ward, Thomas, 1652-1708.",2
"Gardiner, Ralph, b. 1625.",2
"Serenius, Jakob, 1700-1776.",1
"Gedde, John.",2
"Lemon, George William, 1726-1797.",1
"Churllow, R-t H-e E-d L-d, pseud. Tickell, Richard, 1751-1793.",1
"Polwhele, Richard, 1760-1838.",5
"Dykes, Oswald, 1670?-1728.",1
"Head, Richard, 1637?-1686?",4
"Ascham, Roger, 1515-1568.",3
"Crouch, William, 1628-1710.",2
"Lucas, Richard, 1648-1715.",2
"[Spearman, Robert] 1703-1761.",1
"Godwin, William, 1756-1836.",2
"Fielding, Henry, 1707-1754.",12
"Bath, William Pulteney, Earl of, 1684-1764.",7
"Gisborne, Thomas, 1758-1846.",11
"Ward, R. Plumer 1765-1846.",4
"Anstice, Robert.",1
"Blackwell, Thomas, 1701-1757.",4
"England, George, Rector of Woolerton.",1
"Anderson, Henry, d. 1761.",1
"Swinden, Tobias, 1659-1719.",1
"Thorley, John, 1671-1759.",4
"West, Richard, d. 1726.",1
"Young, Matthew, Bishop of Clonfert, 1750-1800.",1
"Fownes, Joseph, 1715-1789.",1
"Perrin, John.",2
"Marmet, Melchior de, seigneur de Valcroissant.",1
"Lavington, George, 1684?-1762.",4
"Oldfield, T. H. B. 1755-1822.",8
"Lysons, Daniel, 1762-1834.",6
"Tooke, John Horne, 1736-1812.",5
"Gadbury, John, 1627-1704.",1
Epicurus.,1
"Wilkie, William, 1721-1772.",4
"Davies, John, Sir, 1569-1626.",4
"Perry, J.",1
"Canning, George, d. 1771.",3
"Rogers, Samuel, 1763-1855.",3
"Hayley, William, 1745-1820.",32
"Lloyd, Robert, 1733-1764.",8
"Akenside, Mark, 1721-1770.",5
"Tennent, John, ca. 1700-ca. 1760.",1
"Whitehead, Paul, 1710-1774.",3
"Crisp, Stephen, 1628-1692.",1
"Phalaris,",1
"Cooper, John Gilbert, 1723-1769.",4
"Howell, James, 1594?-1666.",4
"Ahmad ibn Muhammad ibn ʻAbd al-Ghaffar, al-Kazwini al-Ghifari.",1
"[Aḣmad ibn Muḣammad ibn ʻAbd al-Ghaffär, al-K̇azwīnī al-Ghifārī, d. 1567.",1
"Atkinson, James.",1
"May, Thomas, 1595-1650.",2
"Dubois-Fontanelle, Jean Gaspard, 1737-1812.",3
"Mairobert, Mathieu François Pidanzat de, 1727-1779.",10
"Tindal, Matthew, 1653?-1733.",4
"Hildrop, John, 1682-1756.",6
"Adams, William, 1706-1789.",1
"Drake, Judith, fl. 1696-1707, Astell, Mary, 1668-1731,",1
"Lee, Arthur, 1740-1792.",1
"Taylor, Samuel, 1749-1811.",1
"Muir, George, 1723-1771.",2
"Pinto, Isaac de, 1715-1787.",1
"Fulhame, Mrs.",1
"Dawes, M. d. 1829.",1
"Beccaria, Cesare, marchese di, 1738-1794.",1
"Dorset, Michael.",1
"Mason, George, 1735-1806.",1
"Shepherd, R. 1732?-1809.",1
"[Becket, John Brice]",1
"Adams, George, 1750-1795.",7
"Gerard, Alexander, 1728-1795.",5
Pope.,1
"Baselli, Giovanni Alberto.",1
"Zimmermann, Johann Georg, 1728-1795.",10
"Clerk, John, 1728-1812.",1
"Duff, William, 1732-1815.",1
"Gilpin, William, 1724-1804.",15
"Chastellux, François Jean, marquis de, 1734-1788.",7
"Robertson, J. 1726-1802.",3
"Harte, Walter, 1709-1774.",7
"Taylor, Lauchlan.",1
"Mason, John, 1706-1763.",3
"Craufurd, George.",2
"Nisbet, Alexander, 1657-1725.",1
"Collier, Jane, 1715?-1755.",1
"Decker, Matthew, Sir, Bart., 1679-1749.",2
"Smith, Samuel Stanhope, 1750-1819.",2
"Geddes, James.",1
"Claude, Jean, 1619-1687.",2
"Parnell, Thomas, 1679-1718.",6
"Morgann, Maurice, 1726-1802.",1
"Donne, Benjamin, 1729-1798.",3
"Warton, Joseph, 1722-1800.",3
"Ferguson, Adam, 1723-1816.",4
"Clarkson, Thomas, 1760-1846.",2
"O'Gallagher, Felix.",2
"Hawkins, John, of Worcester.",1
"Fearne, Charles, 1742-1794.",1
"Farmer, Richard, 1735-1797.",1
"Feijoo, Benito Jerónimo, 1676-1764.",1
"Cooksey, Richard.",1
"Craig, William, 1709-1783.",1
"Dudley, Paul, 1675-1751.",1
"Brown, William Laurence, 1755-1830.",1
"Hutcheson, Francis, 1694-1746.",10
"Cruise, William, d. 1824.",2
"Sykes, Arthur Ashley, 1683 or 4-1756.",3
"[Hare, James]",2
"Clarke, Richard.",1
"King, William, 1650-1729.",6
"Condillac, Etienne Bonnot de, 1714-1780.",1
"Shebbeare, John, 1709-1788.",7
"Wood, Robert, 1717?-1771.",3
"Maclaurin, John, 1693-1754.",1
"Denina, Carlo, 1731-1813.",2
"Craig, W. M. ca. 1765-ca. 1834.",1
"Loch, David.",1
"Strong, Martin.",3
"Lee, Weyman.",1
"Grove, Henry, 1684-1738.",1
"Dalrymple, John, Sir, 1726-1810.",6
"Owen, Charles, d. 1746.",2
"Greenwood, James, d. 1737.",2
"De Veil, Hans.",1
"Cronstedt, Axel Fredrik, 1722-1765.",2
"Simon, James.",1
"Free, John, b. 1712?.",1
"Steele, Joshua, 1700-1791.",1
"Bray, Thomas, 1658-1730.",1
"Clarke, Alured, 1696-1742.",1
"Ramsay, Chevalier 1686-1743.",2
"Burnett, Thomas, d. 1750.",2
"Clarke, John, 1687-1734.",1
"Freke, Thomas, d. 1716.",1
"Swift, Deane, 1707-1783.",1
"Clerk, John, Sir, 1676-1755.",1
"Vickaris, A., of Chertsey, Eng.",1
"Clason, Patrick.",1
"Hume, David, 1711-1776.",13
"Jephson, Robert, 1736-1803. Courtenay, John, 1738-1816.",2
"Gregory, G.",1
"Montaigne, Michel de, 1533-1592.",9
"Barnardiston, Thomas, d. 1752.",1
"Lambert, Anne Thérèse de Marguenat de Courcelles, marquise de, 1647-1733.",1
"Witherspoon, John, 1723-1794.",9
"Neale, George, Rev.",1
"Beattie, James, 1735-1803",1
"Reid, Thomas, 1710-1796.",1
"Young, John, D. D., minister at Hawick, Scotland",1
"Young, John, D.D., minister at Hawick, Scotland.",1
"Mackinnon, Charles.",1
"Dunbar, James, d. 1798.",1
"Alison, Archibald, 1757-1839.",2
"Knox, Alexander, 1757-1831.",2
"Loch, David, d 1780.",6
"Talbot, Catherine, 1721-1770.",2
"Anderson, James, 1739-1808.",5
"Collier, Jeremy, 1650-1726.",4
"Mackenzie, George, Sir, 1636-1691.",2
"Trublet, Nicolas-Charles-Joseph, Abbé, 1697-1770.",1
"Belsham, William, 1752-1827.",8
"Hayes, Richard.",4
"Bellamy, D. b. 1687.",2
"Sherwin, William, 1607-1687?",1
"Lyly, John, 1554?-1606.",1
Philological Society (Great Britain),61
"Duncombe, John, 1729-1786.",6
"Ramsay, Allan, 1686-1758.",5
"Robinson, Lewis.",1
"Moss, Charles, 1711-1802.",1
"Addison, Joseph, 1672-1719.",8
Engineer in the French army at Prague.,1
"Whittie, John.",1
"Hayter, Thomas, 1702-1762.",1
"Howlett, John, 1731-1804.",1
"Effingham, Thomas Howard, 3d earl of, 1746-1791.",1
"Crousaz, Jean-Pierre de, 1663-1750.",1
"Christian, Edward, d. 1823.",1
"Broome, Ralph, d. 1805.",4
"Davis, Henry Edwards, 1756-1784.",1
"Goodall, Walter, 1706?-1766.",4
"Duvoisin, Jean-Baptiste, 1744-1813.",1
"Young, Arthur, 1741-1820.",22
"Woodes, Nathaniel, fl. 1580.",1
"Croft, John, 1732-1820.",1
"Zollikofer, Georg Joachim, 1730-1788.",1
"Bottarelli, F.",1
"Hume, Sophia, 1702-1774.",2
Xenophon.,2
"Bromwich, Bryan I'Anson.",1
"Swain, Joseph, 1761-1796.",1
"Delaval, Edward Hussey, 1729-1814.",1
"Higgins, Bry. 1737?-1820.",1
"Fowler, Richard, 1765-1863.",1
"Watson, William, Sir, 1715-1787.",2
"Pearson, John, 1613-1686.",4
"Burroughs, Jeremiah, 1599-1646.",9
"Forbes, Francis.",1
"Francis, Philip, Sir, 1740-1818,",2
"Wither, George, 1588-1667.",1
"Mandeville, Bernard, 1670-1733.",5
"Wallbeck, William.",1
"Moore, Edward, 1712-1757.",7
"Aesop. Croxall, Samuel, d. 1752.",1
"Gay, John, 1685-1732.",8
"Trimmer, Mrs. 1741-1810.",1
"Egmont, John Perceval, Earl of, 1711-1770.",2
"Morgan, William, 1750-1833.",1
"Spenser, Edmund, 1552?-1599.",5
"Estcourt, Richard, 1668-1712.",1
"Arne, Michael, 1741?-1786.",1
"Moorhouse, William.",1
"Appleton, Nathaniel, 1693-1784.",1
"Münter, Balthasar, 1735-1793.",4
"Frowde, Philip, d. 1738.",2
"Haweis, Thomas, 1734-1820.",2
"Anstey, Christopher, 1724-1805.",10
"King, Joseph. Addison, Joseph, 1672-1719. Dodd, William, 1729-1777.",1
"Linné, Carl von, 1707-1778.",2
"La Calprenède, Gaultier de Coste, seigneur de, d. 1663.",9
"Thomas, Robert Bailey, 1766-1846.",1
"Gibson, W. 1680?-1750.",1
"MacNally, Leonard, 1752-1820.",3
"More, Hannah, 1745-1833.",4
"Dallas, Alexander James, 1759-1817.",1
"Haywood, Eliza Fowler, 1693?-1756.",16
"Butler, Charles, d. 1647.",2
"Firishtah, Muḥammad Qāsim Hindū Shāh Astarābādī.",2
"Burrow, James, Sir, 1701-1782.",1
"Tielke, Johann Gottlieb, 1731-1787.",1
"Whitefield, George, 1714-1770.",3
"Delany, Patrick, 1685 or 6-1768.",7
"Palladio, Andrea, 1508-1580.",1
"Clement I, Pope.",1
"Drayton, Michael, 1563-1631. Shakespeare, William, 1564-1616.",1
"Oldcastle, John, Sir, d. 1417.",1
"Cooper, Samuel, 1739 or 40-1800.",1
Virgil.,9
"Kettlewell, John, 1653-1695.",1
"Price, Joseph, b. ca. 1749.",4
"Penrose, Thomas, 1742-1779.",2
"Bryant, Charles, d. ca. 1799.",2
"Bentley, Richard, 1662-1742.",4
"Boaden, James, 1762-1839.",1
United States. War Dept. Inspector General's Office.,1
"Louthian, John.",1
"Jackson, William, 1730-1803.",4
"Weidenfeld, Johann Seger.",1
"Ward, John, fl. 1737.",1
"Halloran, Laurence Hynes, 1766-1831.",1
"Cibber, Theophilus, 1703-1758.",1
"Heresbach, Conrad, 1496-1576.",1
"Nevile, Thomas.",1
"Blount, Thomas, 1618-1679.",2
"Lemaistre, J. G. (John Gustavus), d. 1840,",3
"Middleton, Conyers, 1683-1750.",14
"Acherley, Roger, 1665?-1740.",1
"Waldron, F. G. 1744-1818.",1
"Jones, John, Vicar of Shephall, Hertfordshire.",1
"Parr, Samuel, 1747-1825.",3
"Abergavenny, Henry Nevill, 2d earl of, 1755-1843",3
"Flower, Benjamin, 1755-1829",1
France. Sovereign (1643-1715 : Louis XIV),1
"Garrick, David, 1717-1779.",1
"Mussolini, Cæsar.",1
"Plowden, Francis, 1749-1829.",5
"Goldney, Edward, fl. 1759-1770.",1
"Guthrie, William, 1708-1770.",13
"Rowe, Elizabeth Singer, 1674-1737.",5
"Hewitt, John.",1
"Penn, William, 1644-1718.",11
"Headley, Henry, 1765-1788.",5
"Davies, Henry Cooper, John Gilbert, 1723-1769. Hentzner, Paul, 1558-1623. Whitworth, Charles, Sir ca. 1721-1778. Lancaster, Nathaniel, 1701-1775. Hay, William, 1695-1755. Spence, Joseph, 1699-1768. Dodsley, Robert 1703-1764,",2
Ireland. Parliament.,2
"Grattan, Henry, 1746-1820.",2
"Wright, S. 1683-1746.",1
"Florian, 1755-1794.",1
"Miller, Philip, 1691-1771.",4
"Hunt, William.",1
"Wallace, James.",2
"Short, Thomas, 1690?-1772.",2
"W., S.",4
"Grosier, Jean Baptiste Gabriel Alexandre, 1743-1823.",2
"Brookes, R. fl. 1721-1763.",1
"Du Halde, J.-B. 1674-1743.",4
"O'Halloran, [Sylvester] 1728-1807.",2
"Wynne, John Huddlestone, 1743-1788.",5
"Walmesley, C. 1722-1797.",2
"Entick, John, 1703?-1773.",5
"Ebülgâzî Bahadir Han, Khan of Khorezm, 1603-1663.",1
"Farmer, Hugh, 1714-1787.",1
Great Britain. Army.,1
"Liddon, John",1
"Bradley, Richard, 1688-1732.",4
"Fiddes, Richard, 1671-1725.",2
"Playfair, William, 1759-1823.",5
"Pearce, William.",1
"Robson, James.",1
"Crutchley, John.",1
"Billingsley, J.",1
"Marshall, Mr. 1745-1818.",14
"Donaldson, James, fl. 1794.",5
Board of Agriculture (Great Britain),8
"James, William.",1
Great Britain. Board of Agriculture.,7
"Bailey, J. 1750-1819.",1
"Johnston, Bryce.",1
"Granger, Joseph.",1
"Turner, George.",1
"Driver, Abraham.",1
"Clark, John, d. 1807.",1
"Holt, John, 1743-1801.",1
"Stone, Thomas, d. 1815.",1
"Ure, David.",1
"Johnston, Thomas.",1
"Pomeroy, William Thomas.",1
"Gentleman, Francis, 1728-1784.",1
"Tillinghast, John, 1604-1655.",2
"Ellis, Clement, 1630-1700.",1
"Hampshire, John, 1744-1825. Davis, William, 1771-1807.",1
"Wright, George.",1
"Taplin, William, 1740?-1807.",1
"Price, Howell ap David,",1
"Renwick, William.",1
"Whitaker, John, 1735-1808.",8
"Fabrice, Friedrich Ernst von, 1683-1750.",1
"Butler, Samuel, 1612-1680.",12
"Hardy, Thomas, 1752-1832,",3
"Love, John, fl. 1688.",3
"Burns, Arthur.",1
"Oppenheim, W.",1
"Macpherson, David, 1746-1816.",1
"Barrow, Isaac, 1630-1677.",1
"Hamilton, Hugh, 1729-1805.",1
"Bolton, Robert, 1697-1763.",3
"Hill, Aaron, 1685-1750.",1
"Jenner, Charles, 1736-1774.",3
"Toplady, Augustus, 1740-1778.",1
"Moir, J., Rev.",1
"Hodges, Thomas",1
"Corbet, Edward, d. 1658.",1
"Hales, John, 1584-1656.",1
"Goodman, John, 1625 or 6-1690.",1
"Cawdrey, Daniel, 1588-1664.",2
"Foxcroft, John, 1595-1662.",1
"Fulke, William, 1538-1589.",1
"Erskine, Ralph, 1685-1752.",18
"West, Mrs. 1758-1852.",4
"Mascall, Leonard, d. 1589.",1
"Brightland, John, d. 1717.",1
"Jones, William, Sir, 1746-1794.",7
Castro J.,1
"Johnson, Richard, d. 1721.",1
"Allington, John, d.1682.",1
"Kenrick, W. 1725?-1779.",4
"Howard, Henry,",1
"Nugent, Thomas, 1700?-1772.",6
"Blair, Robert, 1699-1746.",1
"Edwards, George, 1752-1823.",1
"Horsey, John.",1
"Pearson, Anthony, 1628-1670?",1
"Gookin, Vincent, 1616?-1659.",1
"Edwards, Jonathan, 1703-1758.",5
"Calamy, Edmund, 1600-1666.",1
"Foss, John",1
"Taylor, Jeremy, 1613-1667.",1
"Stanyan, Temple, 1677?-1752.",2
"Eachard, John, 1636?-1697.",1
"Russell, Richard, 1700?-1771. Martyn, John, 1699-1768.",4
"Steele, Richard, Sir, 1672-1729. Addison, Joseph, 1672-1719. Godley, John.",1
"Adair, William, 1754-1844. Shafto, Robert. Addison, Joseph, 1672-1719. Steele, Richard, Sir, 1672-1729.",2
"West, Thomas, 1720-1779.",1
"West, Thomas, d. 1779.",2
"Milbourne, Luke, 1649-1720.",2
"Roberts, James, 1668 or 9-1754, Arbuthnot, John, 1667-1735. Pope, Alexander, 1688-1744.",1
"Digby, Everard, Sir, 1578-1606. Barlow, Thomas, 1607-1691. James I, King of England, 1566-1625.",1
"Cranford, James, d. 1657.",1
"Dibdin, Charles, 1745-1814.",4
American lady.,1
"Oxford, Edward Harley, Earl of, 1689-1741. Oldys, William, 1696-1761.",7
"Smith, Robert, 1689-1768.",1
"Wilkinson, James, d.1736. Percy, Thomas, 1729-1811.",4
"Pearce, William, fl. 1785-1796.",1
"Dunton, John, 1659-1733.",3
"Holcroft, Thomas, 1745-1809.",2
"Melville, Henry Dundas, Viscount, 1742-1811.",3
"Baynard, Edward, b. 1641.",1
"Pemberton, Ebenezer, 1705-1777.",1
"Scott, James, 1733-1814.",3
"Berkeley, George Monck, 1763-1793.",2
"Beale, John, 1603-1683?",1
"Hill, Brian.",3
"Aelfric, Abbot of Eynsham, Thwaites, Edward, 1667-1711.",1
"Naubert, Benedikte, 1756-1819.",3
"Harris, James, 1709-1780.",10
"Lee, Sophia, 1750-1824.",1
"Longueville, Peter, fl. 1727.",2
"Musaeus, Grammaticus.",1
"Bush, John, fl. 1764.",1
"Harris, Walter, 17th/18th cent.",1
"Arbuckle, James, 1700-1734?",1
"Prynne, William, 1600-1669.",1
"Townley, James, 1714-1778.",1
"Higgs, Henry.",1
"Prior, Matthew, 1664-1721.",4
"Shields, Alexander, 1660?-1700.",1
"Kent, Nathaniel, 1737-1810.",2
England and Wales. Sovereign (1660-1685 : Charles II),1
"Papon, Jean-Pierre, 1734-1803.",1
"Sainte-Palaye, Jean Baptiste de la Curne de",1
"Thou, Jacques-Auguste de, 1553-1617.",17
"Drake, James, 1667-1707.",2
"Walter, de Hemingburgh.",2
"Bower, Archibald, 1686-1766.",19
"Hitchcock, Robert, d. 1809.",1
"Noorthouck, J.",2
"Gibbs, Philip, fl 1740.",1
[William Baron] b. 1636.,1
"Doddridge, John, Sir, 1555-1628.",1
"Terry, Astley.",1
