author_name,last_name,first_name,title,birthdate,deathdate,,count,fraction_total,dataset
"Baratier, FranÃƒÂ§ois, 1682-1751.",Baratier,FranÃƒÂ§ois,, 1682-1751.,,,1,0.000362188,ota
"Barbers' Company (London, England)",Barbers' Company (London,England),,,,,1,0.000362188,ota
"Barker, John, b. 1730.",Barker,John,, b. 1730.,,,1,0.000362188,ota
"Bateson, Peter.",Bateson,Peter.,,,,,1,0.000362188,ota
"Beaumont, John, d. 1731.",Beaumont,John,, d. 1731.,,,1,0.000362188,ota
"Bell, Benjamin, 1749-1806.",Bell,Benjamin,, 1749-1806.,,,1,0.000362188,ota
"Bellinger, Francis, d. 1721.",Bellinger,Francis,, d. 1721.,,,1,0.000362188,ota
"Betterton, Thomas, 1635?-1710.",Betterton,Thomas,, 1635?-1710.,,,1,0.000362188,ota
"Beverley, Robert, ca. 1673-1722",Beverley,Robert,, ca. 1673-1722,,,1,0.000362188,ota
"Bickerstaff, Isaac, Jun.",Bickerstaff,Isaac,, Jun.,,,1,0.000362188,ota
"Bickerstaff, Isaac.",Bickerstaff,Isaac.,,,,,1,0.000362188,ota
"Bierce, Ambrose, 1842-1914?",Bierce,Ambrose,, 1842-1914?,,,1,0.000362188,ota
"Blane, Gilbert, Sir, 1749-1834.",Blane,Gilbert,, Sir, 1749-1834.,,1,0.000362188,ota
"Bloomfield, Robert, 1766-1823.",Bloomfield,Robert,, 1766-1823.,,,1,0.000362188,ota
"Bond, William, d. 1735.",Bond,William,, d. 1735.,,,1,0.000362188,ota
"Borthwick, George.",Borthwick,George.,,,,,1,0.000362188,ota
"Boyesen, Hjalmar Hjorth, 1848-1895",Boyesen,Hjalmar Hjorth,, 1848-1895,,,1,0.000362188,ota
"Brand, Hannah, d. 1821.",Brand,Hannah,, d. 1821.,,,1,0.000362188,ota
"Brand, John, 1668?-1738.",Brand,John,, 1668?-1738.,,,1,0.000362188,ota
"Brand, Robert.",Brand,Robert.,,,,,1,0.000362188,ota
"Brett-Smith, H. F. B. (Herbert Francis Brett) (ed.)",Brett-Smith,H. F. B. (Herbert Francis Brett) (ed.),,,,,1,0.000362188,ota
"Bromehead, Joseph, b. 1747 or 8.",Bromehead,Joseph,, b. 1747 or 8.,,,1,0.000362188,ota
"BrontÃƒÂ«, Emily, 1818-1848",BrontÃƒÂ«,Emily,, 1818-1848,,,1,0.000362188,ota
"Brown, Charles, fl. 1797-1799.",Brown,Charles,, fl. 1797-1799.,,,1,0.000362188,ota
"Brown, John, 1752-1787.",Brown,John,, 1752-1787.,,,1,0.000362188,ota
"Brown, Sarah, fl. 1777-1779.",Brown,Sarah,, fl. 1777-1779.,,,1,0.000362188,ota
"Browne, Joseph, fl. 1700-1721.",Browne,Joseph,, fl. 1700-1721.,,,1,0.000362188,ota
"Buchan, William, 1729-1805.",Buchan,William,, 1729-1805.,,,1,0.000362188,ota
"Bunyan, John",Bunyan,John,,,,,1,0.000362188,ota
"Butler, Sarah, Mrs.",Butler,Sarah,, Mrs.,,,1,0.000362188,ota
"Cadogan, William, 1711-1797.",Cadogan,William,, 1711-1797.,,,1,0.000362188,ota
"Carleton, George, fl. 1728.",Carleton,George,, fl. 1728.,,,1,0.000362188,ota
"Cayley, George, Sir, 1773-1857",Cayley,George,, Sir, 1773-1857,,1,0.000362188,ota
"Chettle, Henry,(ca. 1560-1607)",Chettle,Henry,,(ca. 1560-1607),,,1,0.000362188,ota
"Cibber, Colley, 1671-1757.",Cibber,Colley,, 1671-1757.,,,1,0.000362188,ota
"Clare, Peter, 1738-1786.",Clare,Peter,, 1738-1786.,,,1,0.000362188,ota
"Cleland, John, 1709-1789",Cleland,John,, 1709-1789,,,1,0.000362188,ota
Clement C. Moore,Clement C. Moore,,,,,,1,0.000362188,ota
"Cockell, William.",Cockell,William.,,,,,1,0.000362188,ota
"Colbatch, John, Sir, 1670-1729.",Colbatch,John,, Sir, 1670-1729.,,1,0.000362188,ota
"College, Academy, and Charitable Schools of Philadelphia.",College,Academy,, and Charitable Schools of Philadelphia.,,,1,0.000362188,ota
"Consett, Matthew.",Consett,Matthew.,,,,,1,0.000362188,ota
"Cooper, James Fenimore, 1789-1851",Cooper,James Fenimore,, 1789-1851,,,1,0.000362188,ota
"Cornaro, Luigi, 1475-1566.",Cornaro,Luigi,, 1475-1566.,,,1,0.000362188,ota
"Cotton, Nathaniel, 1705-1788.",Cotton,Nathaniel,, 1705-1788.,,,1,0.000362188,ota
"Coxe, William, 1747-1828.",Coxe,William,, 1747-1828.,,,1,0.000362188,ota
"Crane, John, physician at Dorchester.",Crane,John,, physician at Dorchester.,,,1,0.000362188,ota
"Crawford, George, fl. 1710.",Crawford,George,, fl. 1710.,,,1,0.000362188,ota
"Crosfeild, Robert Thomas, 1759-1802.",Crosfeild,Robert Thomas,, 1759-1802.,,,1,0.000362188,ota
"Cugoano, Ottobah.",Cugoano,Ottobah.,,,,,1,0.000362188,ota
"Culley, George, 1735-1813.",Culley,George,, 1735-1813.,,,1,0.000362188,ota
"Cunningham, John, brewer.",Cunningham,John,, brewer.,,,1,0.000362188,ota
"Cunningham, John, of Deptford.",Cunningham,John,, of Deptford.,,,1,0.000362188,ota
"Cunningham, John, taylor.",Cunningham,John,, taylor.,,,1,0.000362188,ota
"Dampier, Henry.",Dampier,Henry.,,,,,1,0.000362188,ota
"Dana, Richard Henry, 1815-1882",Dana,Richard Henry,, 1815-1882,,,1,0.000362188,ota
"Darwin, Charles, 1809-1882",Darwin,Charles,, 1809-1882,,,1,0.000362188,ota
"Davies, John, 1567-1644.",Davies,John,, 1567-1644.,,,1,0.000362188,ota
"Dease, William, 1752?-1798.",Dease,William,, 1752?-1798.,,,1,0.000362188,ota
"Dekker, Thomas, ca. 1572-1632",Dekker,Thomas,, ca. 1572-1632,,,1,0.000362188,ota
"Dekker, Thomas and Middleton, Thomas",Dekker,Thomas and Middleton,, Thomas,,,1,0.000362188,ota
"Denman, Thomas, 1733-1815.",Denman,Thomas,, 1733-1815.,,,1,0.000362188,ota
"Dickinson, John",Dickinson,John,,,,,1,0.000362188,ota
"Dictionaries, etc.",Dictionaries,etc.,,,,,1,0.000362188,ota
"Dobbie, Elliott Van Kirk (ed.)",Dobbie,Elliott Van Kirk (ed.),,,,,1,0.000362188,ota
"Douglas, Robert, Sir, 1694-1770.",Douglas,Robert,, Sir, 1694-1770.,,1,0.000362188,ota
"Duck, Arthur.",Duck,Arthur.,,,,,1,0.000362188,ota
"Duckett, George, 1684-1732.",Duckett,George,, 1684-1732.,,,1,0.000362188,ota
"Duncan, Chapman",Duncan,Chapman,,,,,1,0.000362188,ota
"Dutton, Thomas, 18th/19th cent.",Dutton,Thomas,, 18th/19th cent.,,,1,0.000362188,ota
"Dyer, John, 1652 or 3-1713.",Dyer,John,, 1652 or 3-1713.,,,1,0.000362188,ota
"Dyer, John, d. 1729.",Dyer,John,, d. 1729.,,,1,0.000362188,ota
"Earle, James, Sir, 1755-1817.",Earle,James,, Sir, 1755-1817.,,1,0.000362188,ota
"Edwards, Jonathan, 1703-1758",Edwards,Jonathan,, 1703-1758,,,1,0.000362188,ota
"Elyot, Thomas, Sir, 1490?-1546",Elyot,Thomas,, Sir, 1490?-1546,,1,0.000362188,ota
"Famine, Citizen.",Famine,Citizen.,,,,,1,0.000362188,ota
"Farmer, Richard, 1735-1797.",Farmer,Richard,, 1735-1797.,,,1,0.000362188,ota
"Farrer, W. (William), d. 1775.",Farrer,W. (William),, d. 1775.,,,1,0.000362188,ota
"Ferguson, Adam, 1723-1816.",Ferguson,Adam,, 1723-1816.,,,1,0.000362188,ota
"Fitzgerald, F. Scott (Francis Scott), 1896-1940",Fitzgerald,F. Scott (Francis Scott),, 1896-1940,,,1,0.000362188,ota
"Flemyng, Malcolm, d. 1764.",Flemyng,Malcolm,, d. 1764.,,,1,0.000362188,ota
"Flower, Henry.",Flower,Henry.,,,,,1,0.000362188,ota
"Foote, Samuel, 1720-1777.",Foote,Samuel,, 1720-1777.,,,1,0.000362188,ota
"Forbes of Pitsligo, Alexander Forbes, Lord, 1678-1762.",Forbes of Pitsligo,Alexander Forbes,, Lord, 1678-1762.,,1,0.000362188,ota
"Fournel, M. (Jean-FranÃƒÂ§ois), 1745-1820.",Fournel,M. (Jean-FranÃƒÂ§ois),, 1745-1820.,,,1,0.000362188,ota
"Franklin, Benjamin, 1706-1790",Franklin,Benjamin,, 1706-1790,,,1,0.000362188,ota
"Frewen, Thomas, 1704-1791.",Frewen,Thomas,, 1704-1791.,,,1,0.000362188,ota
Friend to Religious and Civil Liberty.,Friend to Religious and Civil Liberty.,,,,,,1,0.000362188,ota
"Funnell, William.",Funnell,William.,,,,,1,0.000362188,ota
"Garthshore, Maxwell, 1732-1812.",Garthshore,Maxwell,, 1732-1812.,,,1,0.000362188,ota
"Gay, John, 1685-1732",Gay,John,, 1685-1732,,,1,0.000362188,ota
General Infirmary at Leeds.,General Infirmary at Leeds.,,,,,,1,0.000362188,ota
"Gibbon, Edward, 1737-1794",Gibbon,Edward,, 1737-1794,,,1,0.000362188,ota
"Giffard, Henry, 1699-1772.",Giffard,Henry,, 1699-1772.,,,1,0.000362188,ota
"Gilman, Charlotte Perkins, 1860-1935",Gilman,Charlotte Perkins,, 1860-1935,,,1,0.000362188,ota
"Godwin, William, 1756-1836.",Godwin,William,, 1756-1836.,,,1,0.000362188,ota
"Gough, Strickland, d. 1752.",Gough,Strickland,, d. 1752.,,,1,0.000362188,ota
"Governor, of Addenbrooke's Hospital.",Governor,of Addenbrooke's Hospital.,,,,,1,0.000362188,ota
"Gower, John, 1325?-1408",Gower,John,, 1325?-1408,,,1,0.000362188,ota
"Gowland, John, d. 1776.",Gowland,John,, d. 1776.,,,1,0.000362188,ota
"Graham, James, 1745-1794.",Graham,James,, 1745-1794.,,,1,0.000362188,ota
"Grahame, Kenneth, 1859-1932",Grahame,Kenneth,, 1859-1932,,,1,0.000362188,ota
"Grant, Alexander, d. 1817.",Grant,Alexander,, d. 1817.,,,1,0.000362188,ota
Great Britain. Sovereign (1760-1820 : George III),Great Britain. Sovereign (1760-1820 : George III),,,,,,1,0.000362188,ota
H. D.,H. D.,,,,,,1,0.000362188,ota
"HaÃ…Â¡ek, Jaroslav, 1883-1923",HaÃ…Â¡ek,Jaroslav,, 1883-1923,,,1,0.000362188,ota
"Hakluyt, Richard, 1552?-1616",Hakluyt,Richard,, 1552?-1616,,,1,0.000362188,ota
"Hale, John, 18th cent.",Hale,John,, 18th cent.,,,1,0.000362188,ota
"Hamilton, Robert, 1749-1830.",Hamilton,Robert,, 1749-1830.,,,1,0.000362188,ota
"Harrison, John, fl. 1784-1792.",Harrison,John,, fl. 1784-1792.,,,1,0.000362188,ota
Harrison & Co.,Harrison & Co.,,,,,,1,0.000362188,ota
"Hawkesworth, John, fl. 1782-1778.",Hawkesworth,John,, fl. 1782-1778.,,,1,0.000362188,ota
Hearty Well-Wisher to Publick Credit.,Hearty Well-Wisher to Publick Credit.,,,,,,1,0.000362188,ota
"Heath, William, 1737-1814.",Heath,William,, 1737-1814.,,,1,0.000362188,ota
"Henry, O., 1862-1910",Henry,O.,, 1862-1910,,,1,0.000362188,ota
"Henry, Thomas, 1734-1816.",Henry,Thomas,, 1734-1816.,,,1,0.000362188,ota
"Hey, Mrs.",Hey,Mrs.,,,,,1,0.000362188,ota
"Heysham, John, 1753-1834.",Heysham,John,, 1753-1834.,,,1,0.000362188,ota
"Hoadly, Benjamin, 1676-1761.",Hoadly,Benjamin,, 1676-1761.,,,1,0.000362188,ota
"Hobbes, Thomas, 1588-1679",Hobbes,Thomas,, 1588-1679,,,1,0.000362188,ota
"Hogarth, William, 1697-1764.",Hogarth,William,, 1697-1764.,,,1,0.000362188,ota
"Hogarth, William, ill. 1697-1764.",Hogarth,William,, ill. 1697-1764.,,,1,0.000362188,ota
"Holwell, J. Z. (John Zephaniah), 1711-1798.",Holwell,J. Z. (John Zephaniah),, 1711-1798.,,,1,0.000362188,ota
"Home, Everard, Sir, 1756-1832.",Home,Everard,, Sir, 1756-1832.,,1,0.000362188,ota
"Hopkinson, Francis, 1737-1791.",Hopkinson,Francis,, 1737-1791.,,,1,0.000362188,ota
"Howells, William Dean, 1837-1920",Howells,William Dean,, 1837-1920,,,1,0.000362188,ota
"Howlett, John, 1731-1804.",Howlett,John,, 1731-1804.,,,1,0.000362188,ota
"Hudibras, Hugh.",Hudibras,Hugh.,,,,,1,0.000362188,ota
"Hutchinson, William, 1715-1801.",Hutchinson,William,, 1715-1801.,,,1,0.000362188,ota
"Hutton, Charles, shipmaster in Culross.",Hutton,Charles,, shipmaster in Culross.,,,1,0.000362188,ota
"Irving, Washington, 1783-1859",Irving,Washington,, 1783-1859,,,1,0.000362188,ota
"Jackson, Humphrey, ca. 1717-1801.",Jackson,Humphrey,, ca. 1717-1801.,,,1,0.000362188,ota
"Jardine, L. J., fl. 1795.",Jardine,L. J.,, fl. 1795.,,,1,0.000362188,ota
"Jenner, Edward, 1749-1823.",Jenner,Edward,, 1749-1823.,,,1,0.000362188,ota
"Johnson, Samuel, 1709-1784",Johnson,Samuel,, 1709-1784,,,1,0.000362188,ota
"Johnstone, James, 1730?-1802.",Johnstone,James,, 1730?-1802.,,,1,0.000362188,ota
"Jones, Henry, fl. 1782.",Jones,Henry,, fl. 1782.,,,1,0.000362188,ota
"Jones, John Gale, 1769-1838.",Jones,John Gale,, 1769-1838.,,,1,0.000362188,ota
"Josef Schmied, Claudia Claridge, Rainer Siemund (ed.)",Josef Schmied,Claudia Claridge,, Rainer Siemund (ed.),,,1,0.000362188,ota
"Keats, John, 1795-1821",Keats,John,, 1795-1821,,,1,0.000362188,ota
"Kelly, Ebenezer Beriah, b. 1783",Kelly,Ebenezer Beriah,, b. 1783,,,1,0.000362188,ota
"Kelly, Hugh.",Kelly,Hugh.,,,,,1,0.000362188,ota
"Killings, Douglas B. (ed.)",Killings,Douglas B. (ed.),,,,,1,0.000362188,ota
"King, Thomas, fl. 1791.",King,Thomas,, fl. 1791.,,,1,0.000362188,ota
"King, Thomas.",King,Thomas.,,,,,1,0.000362188,ota
"Krapp, George Philip, 1872-1934",Krapp,George Philip,, 1872-1934,,,1,0.000362188,ota
"Kyd, Thomas, 1558-1594",Kyd,Thomas,, 1558-1594,,,1,0.000362188,ota
"L'Estrange, Roger, Sir, 1616-1704",L'Estrange,Roger,, Sir, 1616-1704,,1,0.000362188,ota
"Lambrechts, Arentius Ferdinand.",Lambrechts,Arentius Ferdinand.,,,,,1,0.000362188,ota
"Langland, William, 1330?-1400?",Langland,William,, 1330?-1400?,,,1,0.000362188,ota
"Langley, Gilbert.",Langley,Gilbert.,,,,,1,0.000362188,ota
Late Member of the Continental Congress.,Late Member of the Continental Congress.,,,,,,1,0.000362188,ota
Late pupil of Dr. Leake's.,Late pupil of Dr. Leake's.,,,,,,1,0.000362188,ota
"Latham, John, 1697 or 8-1754.",Latham,John,, 1697 or 8-1754.,,,1,0.000362188,ota
"Latham, John, 1761-1843.",Latham,John,, 1761-1843.,,,1,0.000362188,ota
"Law, William, 1686-1761",Law,William,, 1686-1761,,,1,0.000362188,ota
"Law, William, 1686-1761.",Law,William,, 1686-1761.,,,1,0.000362188,ota
"Leapor, Mrs. (Mary), 1722-1746.",Leapor,Mrs. (Mary),, 1722-1746.,,,1,0.000362188,ota
"Lennox, Charlotte, 1729-1804. Trifler.",Lennox,Charlotte,, 1729-1804. Trifler.,,,1,0.000362188,ota
"Leny, R.",Leny,R.,,,,,1,0.000362188,ota
"Lettsom, John Coakley, 1744-1815.",Lettsom,John Coakley,, 1744-1815.,,,1,0.000362188,ota
"Lewis, Mayer.",Lewis,Mayer.,,,,,1,0.000362188,ota
"Lind, James, 1736-1812.",Lind,James,, 1736-1812.,,,1,0.000362188,ota
"Lloyd, Robert.",Lloyd,Robert.,,,,,1,0.000362188,ota
"Logan, William, 1747-1772.",Logan,William,, 1747-1772.,,,1,0.000362188,ota
London Hospital.,London Hospital.,,,,,,1,0.000362188,ota
"Lynn, Walter, 1677-1763.",Lynn,Walter,, 1677-1763.,,,1,0.000362188,ota
"Lynn, William, 1753-1837.",Lynn,William,, 1753-1837.,,,1,0.000362188,ota
"MacDonald, John, b. 1741?",MacDonald,John,, b. 1741?,,,1,0.000362188,ota
"Maiden Hospital (Edinburgh, Scotland)",Maiden Hospital (Edinburgh,Scotland),,,,,1,0.000362188,ota
"Mandeville, Bernard, 1670-1733.",Mandeville,Bernard,, 1670-1733.,,,1,0.000362188,ota
"Manley, Mrs. (Mary de la RiviÃƒÂ¨re), 1663-1724.",Manley,Mrs. (Mary de la RiviÃƒÂ¨re),, 1663-1724.,,,1,0.000362188,ota
Margarete C. Conkling,Margarete C. Conkling,,,,,,1,0.000362188,ota
"Marlowe, Christopher, 1564-1593",Marlowe,Christopher,, 1564-1593,,,1,0.000362188,ota
"Marra, John.",Marra,John.,,,,,1,0.000362188,ota
"Marvell, Andrew, 1621-1678",Marvell,Andrew,, 1621-1678,,,1,0.000362188,ota
"Matthias, Ulrich",Matthias,Ulrich,,,,,1,0.000362188,ota
"Mayhew, Jonathan, 1720-1766",Mayhew,Jonathan,, 1720-1766,,,1,0.000362188,ota
"Merande, D.",Merande,D.,,,,,1,0.000362188,ota
"Merry, Robert, 1755-1798.",Merry,Robert,, 1755-1798.,,,1,0.000362188,ota
"Middleton, Thomas, 1580-1627",Middleton,Thomas,, 1580-1627,,,1,0.000362188,ota
"Mill, John Stuart, 1806-1873",Mill,John Stuart,, 1806-1873,,,1,0.000362188,ota
"Monro, Alexander, 1733-1817.",Monro,Alexander,, 1733-1817.,,,1,0.000362188,ota
"Montgomery, Lucy Maud, 1874-1942",Montgomery,Lucy Maud,, 1874-1942,,,1,0.000362188,ota
"Moore, Edward, 1712-1757.",Moore,Edward,, 1712-1757.,,,1,0.000362188,ota
"More, Thomas, Sir, Saint, 1478-1535",More,Thomas,, Sir, Saint, 1478-1535,1,0.000362188,ota
"Morgan, John, 1735-1789.",Morgan,John,, 1735-1789.,,,1,0.000362188,ota
"Morland, John, M.D.",Morland,John,, M.D.,,,1,0.000362188,ota
"Morris, William, 1834-1896",Morris,William,, 1834-1896,,,1,0.000362188,ota
"Moxon, Elizabeth.",Moxon,Elizabeth.,,,,,1,0.000362188,ota
"Moxon, Joseph, 1627-1691.",Moxon,Joseph,, 1627-1691.,,,1,0.000362188,ota
"Muir, James, 1757-1820.",Muir,James,, 1757-1820.,,,1,0.000362188,ota
"Mulcaster, Richard, 1530?-1611",Mulcaster,Richard,, 1530?-1611,,,1,0.000362188,ota
"Nettleton, Thomas, 1683-1742.",Nettleton,Thomas,, 1683-1742.,,,1,0.000362188,ota
Newcastle upon Tyne (England). Dispensary.,Newcastle upon Tyne (England). Dispensary.,,,,,,1,0.000362188,ota
"Newton, Isaac, Sir, 1642-1727.",Newton,Isaac,, Sir, 1642-1727.,,1,0.000362188,ota
"Nolan, William, 18th cent.",Nolan,William,, 18th cent.,,,1,0.000362188,ota
"Norris, Thomas, fl. 1780.",Norris,Thomas,, fl. 1780.,,,1,0.000362188,ota
"Northcote, James, 1746-1831.",Northcote,James,, 1746-1831.,,,1,0.000362188,ota
"O'Brien, William, d. 1815.",O'Brien,William,, d. 1815.,,,1,0.000362188,ota
"Ogden, Bernard, b. 1767.",Ogden,Bernard,, b. 1767.,,,1,0.000362188,ota
"Okell, Benjamin.",Okell,Benjamin.,,,,,1,0.000362188,ota
"Orczy, Baroness Emmuska, 1865-1947",Orczy,Baroness Emmuska,, 1865-1947,,,1,0.000362188,ota
"Osbourne, Lloyd, 1868-1947",Osbourne,Lloyd,, 1868-1947,,,1,0.000362188,ota
"Overton, Benjamin, attributed name.",Overton,Benjamin,, attributed name.,,,1,0.000362188,ota
Ovid,Ovid,,,,,,1,0.000362188,ota
"Owen, Robert, 1771-1858",Owen,Robert,, 1771-1858,,,1,0.000362188,ota
"Owen, Wilfred, 1893-1918",Owen,Wilfred,, 1893-1918,,,1,0.000362188,ota
"Page, John, fl. 1733-1763.",Page,John,, fl. 1733-1763.,,,1,0.000362188,ota
"Palmer, Samuel, d. 1732.",Palmer,Samuel,, d. 1732.,,,1,0.000362188,ota
"Pearson, Richard, 1765-1836.",Pearson,Richard,, 1765-1836.,,,1,0.000362188,ota
Person of honour.,Person of honour.,,,,,,1,0.000362188,ota
"Philadelphos, Theophilos.",Philadelphos,Theophilos.,,,,,1,0.000362188,ota
Philanthropos.,Philanthropos.,,,,,,1,0.000362188,ota
"Philips, Ambrose, 1674-1749.",Philips,Ambrose,, 1674-1749.,,,1,0.000362188,ota
"Phillips, David Graham, 1867-1911",Phillips,David Graham,, 1867-1911,,,1,0.000362188,ota
"Pinto, Isaac de, 1715-1787.",Pinto,Isaac de,, 1715-1787.,,,1,0.000362188,ota
"Pittis, William, 1674-1724.",Pittis,William,, 1674-1724.,,,1,0.000362188,ota
"Pix, Mary, 1666-1720.",Pix,Mary,, 1666-1720.,,,1,0.000362188,ota
Pliny the Younger,Pliny the Younger,,,,,,1,0.000362188,ota
Plutarch,Plutarch,,,,,,1,0.000362188,ota
"Polesworth, Humphry, Sir, 18th cent.",Polesworth,Humphry,, Sir, 18th cent.,,1,0.000362188,ota
"Pollard, Robert, 1755-1838.",Pollard,Robert,, 1755-1838.,,,1,0.000362188,ota
"Polwhele, Richard, 1760-1838",Polwhele,Richard,, 1760-1838,,,1,0.000362188,ota
"Pope, Alexander, 1688-1744",Pope,Alexander,, 1688-1744,,,1,0.000362188,ota
"Pope, Alexander, 1763-1835.",Pope,Alexander,, 1763-1835.,,,1,0.000362188,ota
"Popple, William, 1701-1764.",Popple,William,, 1701-1764.,,,1,0.000362188,ota
"Potter, Beatrix, 1866-1943",Potter,Beatrix,, 1866-1943,,,1,0.000362188,ota
"Priestley, Joseph, 1733-1804.",Priestley,Joseph,, 1733-1804.,,,1,0.000362188,ota
"Pringle, John, Sir, 1707-1782.",Pringle,John,, Sir, 1707-1782.,,1,0.000362188,ota
"Purney, Thomas, 1695-ca. 1727.",Purney,Thomas,, 1695-ca. 1727.,,,1,0.000362188,ota
"Puttenham, George, d. 1590",Puttenham,George,, d. 1590,,,1,0.000362188,ota
Pythagoras.,Pythagoras.,,,,,,1,0.000362188,ota
"Quincey, Thomas de, 1785-1859",Quincey,Thomas de,, 1785-1859,,,1,0.000362188,ota
"Radcliffe, Ann Sophia.",Radcliffe,Ann Sophia.,,,,,1,0.000362188,ota
"Radcliffe, Mary Ann, 1745?-1810.",Radcliffe,Mary Ann,, 1745?-1810.,,,1,0.000362188,ota
"Randall, William.",Randall,William.,,,,,1,0.000362188,ota
"Randolph, Mary, 1762-1828",Randolph,Mary,, 1762-1828,,,1,0.000362188,ota
"Reed, Joseph, 1741-1785.",Reed,Joseph,, 1741-1785.,,,1,0.000362188,ota
"Rennie, George, 1749-1828.",Rennie,George,, 1749-1828.,,,1,0.000362188,ota
"Reresby, John, Sir, 1634-1689.",Reresby,John,, Sir, 1634-1689.,,1,0.000362188,ota
"Richardson, Samuel, d. 1805.",Richardson,Samuel,, d. 1805.,,,1,0.000362188,ota
"Rickman, John.",Rickman,John.,,,,,1,0.000362188,ota
"Rivers, David.",Rivers,David.,,,,,1,0.000362188,ota
"Roberts, Charles George Douglas, Sir, 1860-1943",Roberts,Charles George Douglas,, Sir, 1860-1943,,1,0.000362188,ota
"Robins, Benjamin, 1707-1751.",Robins,Benjamin,, 1707-1751.,,,1,0.000362188,ota
"Robinson, Mary, 1758-1800",Robinson,Mary,, 1758-1800,,,1,0.000362188,ota
"Robinson, Nicholas, 1697?-1775.",Robinson,Nicholas,, 1697?-1775.,,,1,0.000362188,ota
"Rock, Dr. (Richard), 1708-1774.",Rock,Dr. (Richard),, 1708-1774.,,,1,0.000362188,ota
"Rousseau, Jean-Jacques, 1712-1778.",Rousseau,Jean-Jacques,, 1712-1778.,,,1,0.000362188,ota
Royal College of Surgeons of England.,Royal College of Surgeons of England.,,,,,,1,0.000362188,ota
"Rudd, Sayer, d. 1757.",Rudd,Sayer,, d. 1757.,,,1,0.000362188,ota
"Rushworth, John, 1669-1736.",Rushworth,John,, 1669-1736.,,,1,0.000362188,ota
"Rutledge, Sarah, 1782-1855.",Rutledge,Sarah,, 1782-1855.,,,1,0.000362188,ota
"Rymer, James, fl. 1770-1833.",Rymer,James,, fl. 1770-1833.,,,1,0.000362188,ota
"Samber, Robert.",Samber,Robert.,,,,,1,0.000362188,ota
"Sarn, Peter van, d. 1766.",Sarn,Peter van,, d. 1766.,,,1,0.000362188,ota
"Scott, Walter, Sir, 1771-1832",Scott,Walter,, Sir, 1771-1832,,1,0.000362188,ota
"Sharp, William, fl. 1766-1767.",Sharp,William,, fl. 1766-1767.,,,1,0.000362188,ota
"Shaw, Peter, 1694-1763.",Shaw,Peter,, 1694-1763.,,,1,0.000362188,ota
"Shebbeare, John, 1709-1788.",Shebbeare,John,, 1709-1788.,,,1,0.000362188,ota
"Shelley, Mary Wollstonecraft, 1797-1851",Shelley,Mary Wollstonecraft,, 1797-1851,,,1,0.000362188,ota
"Sheridan, Frances Chamberlaine, 1724-1766.",Sheridan,Frances Chamberlaine,, 1724-1766.,,,1,0.000362188,ota
"Sheridan, Thomas, 1687-1738",Sheridan,Thomas,, 1687-1738,,,1,0.000362188,ota
"Sherry, Richard, ca. 1506-ca. 1555",Sherry,Richard,, ca. 1506-ca. 1555,,,1,0.000362188,ota
"Skrimshire, F. (Fenwick), 1774 or 5-1855.",Skrimshire,F. (Fenwick),, 1774 or 5-1855.,,,1,0.000362188,ota
"Sloane, Hans, Sir, 1660-1753.",Sloane,Hans,, Sir, 1660-1753.,,1,0.000362188,ota
"Smart, Christopher, 1722-1771.",Smart,Christopher,, 1722-1771.,,,1,0.000362188,ota
"Smith, Adam, 1723-1790",Smith,Adam,, 1723-1790,,,1,0.000362188,ota
"Smith, William, 1727-1803.",Smith,William,, 1727-1803.,,,1,0.000362188,ota
"Society of Apothecaries, London.",Society of Apothecaries,London.,,,,,1,0.000362188,ota
"Sparham, Legard.",Sparham,Legard.,,,,,1,0.000362188,ota
"Spence, Joseph, 1699-1768.",Spence,Joseph,, 1699-1768.,,,1,0.000362188,ota
"Stanyan, Temple, 1677?-1752.",Stanyan,Temple,, 1677?-1752.,,,1,0.000362188,ota
"Stern, Philip.",Stern,Philip.,,,,,1,0.000362188,ota
"Stoker, Bram, 1847-1912",Stoker,Bram,, 1847-1912,,,1,0.000362188,ota
"Stowe, Harriet Beecher, 1811-1896",Stowe,Harriet Beecher,, 1811-1896,,,1,0.000362188,ota
"Surgeons Hospital (Edinburgh, Scotland)",Surgeons Hospital (Edinburgh,Scotland),,,,,1,0.000362188,ota
"Taylor, Margaret, Mrs.",Taylor,Margaret,, Mrs.,,,1,0.000362188,ota
"Taylor, Thomas, 1738-1816.",Taylor,Thomas,, 1738-1816.,,,1,0.000362188,ota
"Tennyson, Alfred Tennyson, Baron, 1809-1892",Tennyson,Alfred Tennyson,, Baron, 1809-1892,,1,0.000362188,ota
"Thacher, Oxenbridge, 1719-1765",Thacher,Oxenbridge,, 1719-1765,,,1,0.000362188,ota
"Thelwall, John, 1764-1834.",Thelwall,John,, 1764-1834.,,,1,0.000362188,ota
"Theobald, Mr. (Lewis), 1688-1744.",Theobald,Mr. (Lewis),, 1688-1744.,,,1,0.000362188,ota
"Thomas, Rowley.",Thomas,Rowley.,,,,,1,0.000362188,ota
"Thompson, John-Weeks.",Thompson,John-Weeks.,,,,,1,0.000362188,ota
"Thomson, Alexander, M.D.",Thomson,Alexander,, M.D.,,,1,0.000362188,ota
"Thomson, James, fl. 1719-1762.",Thomson,James,, fl. 1719-1762.,,,1,0.000362188,ota
