author_name,last_name,first_name,title,birth_date,death_date,grand_total
"Muir, James, 1757-1820",Muir,James,,1757,1820,1
"Northcote, James, 1746-1831",Northcote,James,,1746,1831,1
"Rymer, James, fl 1770-1833",Rymer,James,, fl 1770,1833,1
"Thomson, James, fl 1719-1762",Thomson,James,, fl 1719,1762,1
"Wilson, James, 1742-1798",Wilson,James,,1742,1798,1
"Cooper, James Fenimore, 1789-1851",Cooper,James Fenimore,,1789,1851,1
"HaÅ¡ek, Jaroslav, 1883-1923",HaÅ¡ek,Jaroslav,,1883,1923,1
"Rousseau, Jean-Jacques, 1712-1778",Rousseau,Jean-Jacques,,1712,1778,1
"Aitken, John, d 1790",Aitken,John,, d 1790,,1
"Alderson, John, 1757-1829",Alderson,John,,1757,1829,1
"Anderson, John, ca 1730-1804",Anderson,John,, ca 1730,1804,1
"Armstrong, John, 1709-1779",Armstrong,John,,1709,1779,1
"Atkins, John, 1685-1757",Atkins,John,,1685,1757,1
"Barker, John, b 1730",Barker,John,, b 1730,,1
"Beaumont, John, d 1731",Beaumont,John,, d 1731,,1
"Brand, John, 1668?-1738",Brand,John,, 1668?,1738,1
"Brown, John, 1752-1787",Brown,John,,1752,1787,1
"Bunyan, John",Bunyan,John,,,,1
"Cleland, John, 1709-1789",Cleland,John,,1709,1789,1
"Colbatch, John, Sir, 1670-1729",Colbatch,John,,1670,1729,1
"Crane, John, physician at Dorchester",Crane,John,, physician at Dorchester,,1
"Cunningham, John, brewer",Cunningham,John,, brewer,,1
"Cunningham, John, of Deptford",Cunningham,John,, of Deptford,,1
"Cunningham, John, taylor",Cunningham,John,, taylor,,1
"Davies, John, 1567-1644",Davies,John,,1567,1644,1
"Dickinson, John",Dickinson,John,,,,1
"Dyer, John, 1652 or 3-1713",Dyer,John,, 1652 or 3,1713,1
"Dyer, John, d 1729",Dyer,John,, d 1729,,1
"Gay, John, 1685-1732",Gay,John,,1685,1732,1
"Gower, John, 1325?-1408",Gower,John,, 1325?,1408,1
"Gowland, John, d 1776",Gowland,John,, d 1776,,1
"Hale, John, 18th cent",Hale,John,, 18th cent,,1
"Harrison, John, fl 1784-1792",Harrison,John,, fl 1784,1792,1
"Hawkesworth, John, fl 1782-1778",Hawkesworth,John,, fl 1782,1778,1
"Heysham, John, 1753-1834",Heysham,John,,1753,1834,1
"Howlett, John, 1731-1804",Howlett,John,,1731,1804,1
"Keats, John, 1795-1821",Keats,John,,1795,1821,1
"Latham, John, 1697 or 8-1754",Latham,John,, 1697 or 8,1754,1
"Latham, John, 1761-1843",Latham,John,,1761,1843,1
"MacDonald, John, b 1741?",MacDonald,John,, b 1741?,,1
"Morgan, John, 1735-1789",Morgan,John,,1735,1789,1
"Morland, John, MD",Morland,John,, MD,,1
"Page, John, fl 1733-1763",Page,John,, fl 1733,1763,1
"Pringle, John, Sir, 1707-1782",Pringle,John,,1707,1782,1
"Reresby, John, Sir, 1634-1689",Reresby,John,,1634,1689,1
"Rushworth, John, 1669-1736",Rushworth,John,,1669,1736,1
"Shebbeare, John, 1709-1788",Shebbeare,John,,1709,1788,1
"Thelwall, John, 1764-1834",Thelwall,John,,1764,1834,1
"Webster, John, 1580?-1625",Webster,John,, 1580?,1625,1
"Wesley, John, 1703-1791",Wesley,John,,1703,1791,1
"White, John, 1757 or 8-1832",White,John,, 1757 or 8,1832,1
"Lettsom, John Coakley, 1744-1815",Lettsom,John Coakley,,1744,1815,1
"Jones, John Gale, 1769-1838",Jones,John Gale,,1769,1838,1
"Mill, John Stuart, 1806-1873",Mill,John Stuart,,1806,1873,1
"Marra, John",Marra,John,,,,1
"Rickman, John",Rickman,John,,,,1
"Thompson, John-Weeks",Thompson,John-Weeks,,,,1
"Edwards, Jonathan, 1703-1758",Edwards,Jonathan,,1703,1758,1
"Mayhew, Jonathan, 1720-1766",Mayhew,Jonathan,,1720,1766,1
"Swift, Jonathan, 1667-1745",Swift,Jonathan,,1667,1745,1
"Swift, Jonathan, 1667-1745",Swift,Jonathan,,1667,1745,1
"Bromehead, Joseph, b 1747 or 8",Bromehead,Joseph,, b 1747 or 8,,1
"Browne, Joseph, fl 1700-1721",Browne,Joseph,, fl 1700,1721,1
"Moxon, Joseph, 1627-1691",Moxon,Joseph,,1627,1691,1
"Priestley, Joseph, 1733-1804",Priestley,Joseph,,1733,1804,1
"Reed, Joseph, 1741-1785",Reed,Joseph,,1741,1785,1
"Spence, Joseph, 1699-1768",Spence,Joseph,,1699,1768,1
"Grahame, Kenneth, 1859-1932",Grahame,Kenneth,,1859,1932,1
"Jardine, L J, fl 1795",Jardine,L J,, fl 1795,,1
"Sparham, Legard",Sparham,Legard,,,,1
"Osbourne, Lloyd, 1868-1947",Osbourne,Lloyd,,1868,1947,1
"Society of Apothecaries, London",Society of Apothecaries,London,,,,1
"Alcott, Louisa May, 1832-1888",Alcott,Louisa May,,1832,1888,1
"Montgomery, Lucy Maud, 1874-1942",Montgomery,Lucy Maud,,1874,1942,1
"Cornaro, Luigi, 1475-1566",Cornaro,Luigi,,1475,1566,1
"Fournel, M (Jean-François), 1745-1820",Fournel,M (Jean-François),,1745,1820,1
"Flemyng, Malcolm, d 1764",Flemyng,Malcolm,, d 1764,,1
"Taylor, Margaret, Mrs",Taylor,Margaret,Mrs,,,1
"Warren, Martin, 1696-1735",Warren,Martin,,1696,1735,1
"Pix, Mary, 1666-1720",Pix,Mary,,1666,1720,1
"Randolph, Mary, 1762-1828",Randolph,Mary,,1762,1828,1
"Robinson, Mary, 1758-1800",Robinson,Mary,,1758,1800,1
"Wollstonecraft, Mary, 1759-1797",Wollstonecraft,Mary,,1759,1797,1
"Radcliffe, Mary Ann, 1745?-1810",Radcliffe,Mary Ann,, 1745?,1810,1
"Shelley, Mary Wollstonecraft, 1797-1851",Shelley,Mary Wollstonecraft,,1797,1851,1
"Turner, Matthew, d ca 1788",Turner,Matthew,, d ca 1788,,1
"Consett, Matthew",Consett,Matthew,,,,1
"Garthshore, Maxwell, 1732-1812",Garthshore,Maxwell,,1732,1812,1
"Lewis, Mayer",Lewis,Mayer,,,,1
"Theobald, Mr (Lewis), 1688-1744",Theobald,Mr (Lewis),,1688,1744,1
"Tickell, Mr (Thomas), 1686-1740",Tickell,Mr (Thomas),,1686,1740,1
"Hey, Mrs",Hey,,Mrs,,,1
"Wright, Mrs,",Wright,,Mrs,,,1
"Manley, Mrs (Mary de la Rivière), 1663-1724",Manley,Mrs (Mary de la Rivière),,1663,1724,1
"Leapor, Mrs (Mary), 1722-1746",Leapor,Mrs (Mary),,1722,1746,1
"Amhurst, N (Nicholas), 1697-1742",Amhurst,N (Nicholas),,1697,1742,1
"Cotton, Nathaniel, 1705-1788",Cotton,Nathaniel,,1705,1788,1
"Robinson, Nicholas, 1697?-1775",Robinson,Nicholas,, 1697?,1775,1
"Henry, O, 1862-1910",Henry,O,,1862,1910,1
"Governor, of Addenbrooke's Hospital",Governor,of Addenbrooke's Hospital,,,,1
"Cugoano, Ottobah",Cugoano,Ottobah,,,,1
"Thacher, Oxenbridge, 1719-1765",Thacher,Oxenbridge,,1719,1765,1
"Clare, Peter, 1738-1786",Clare,Peter,,1738,1786,1
"Shaw, Peter, 1694-1763",Shaw,Peter,,1694,1763,1
"Sarn, Peter van, d 1766",Sarn,Peter van,, d 1766,,1
"Bateson, Peter",Bateson,Peter,,,,1
"Stern, Philip",Stern,Philip,,,,1
"Leny, R",Leny,R,,,,1
"Vaughan, Rice",Vaughan,Rice,,,,1
"Farmer, Richard, 1735-1797",Farmer,Richard,,1735,1797,1
"Hakluyt, Richard, 1552?-1616",Hakluyt,Richard,, 1552?,1616,1
"Mulcaster, Richard, 1530?-1611",Mulcaster,Richard,, 1530?,1611,1
"Pearson, Richard, 1765-1836",Pearson,Richard,,1765,1836,1
"Polwhele, Richard, 1760-1838",Polwhele,Richard,,1760,1838,1
"Sherry, Richard, ca 1506-ca 1555",Sherry,Richard,, ca 1506,ca 1555,1
"West, Richard, Son of the Lord Chancellor of Ireland",West,Richard,, Son of the Lord Chancellor of Ireland,,1
"Dana, Richard Henry, 1815-1882",Dana,Richard Henry,,1815,1882,1
"Beverley, Robert, ca 1673-1722",Beverley,Robert,, ca 1673,1722,1
"Bloomfield, Robert, 1766-1823",Bloomfield,Robert,,1766,1823,1
"Douglas, Robert, Sir, 1694-1770",Douglas,Robert,,1694,1770,1
"Hamilton, Robert, 1749-1830",Hamilton,Robert,,1749,1830,1
"Merry, Robert, 1755-1798",Merry,Robert,,1755,1798,1
"Owen, Robert, 1771-1858",Owen,Robert,,1771,1858,1
"Pollard, Robert, 1755-1838",Pollard,Robert,,1755,1838,1
"Crosfeild, Robert Thomas, 1759-1802",Crosfeild,Robert Thomas,,1759,1802,1
"Brand, Robert",Brand,Robert,,,,1
"Lloyd, Robert",Lloyd,Robert,,,,1
"Samber, Robert",Samber,Robert,,,,1
"L'Estrange, Roger, Sir, 1616-1704",L'Estrange,Roger,,1616,1704,1
"Thomas, Rowley",Thomas,Rowley,,,,1
"Kipling, Rudyard, 1865-1936",Kipling,Rudyard,,1865,1936,1
"Tissot, S A D (Samuel Auguste David), 1728-1797",Tissot,S A D (Samuel Auguste David),,1728,1797,1
"Foote, Samuel, 1720-1777",Foote,Samuel,,1720,1777,1
"Johnson, Samuel, 1709-1784",Johnson,Samuel,,1709,1784,1
"Palmer, Samuel, d 1732",Palmer,Samuel,, d 1732,,1
"Richardson, Samuel, d 1805",Richardson,Samuel,, d 1805,,1
"Brown, Sarah, fl 1777-1779",Brown,Sarah,, fl 1777,1779,1
"Butler, Sarah, Mrs",Butler,Sarah,, Mrs,,1
"Rutledge, Sarah, 1782-1855",Rutledge,Sarah,,1782,1855,1
"Rudd, Sayer, d 1757",Rudd,Sayer,, d 1757,,1
"Maiden Hospital (Edinburgh, Scotland)",Maiden Hospital (Edinburgh,Scotland),,,,1
"Surgeons Hospital (Edinburgh, Scotland)",Surgeons Hospital (Edinburgh,Scotland),,,,1
"Told, Silas, 1711-1779",Told,Silas,,1711,1779,1
"Watts, Stephen, 1741-1788",Watts,Stephen,,1741,1788,1
"Gough, Strickland, d 1752",Gough,Strickland,, d 1752,,1
"Stanyan, Temple, 1677?-1752",Stanyan,Temple,, 1677?,1752,1
"Philadelphos, Theophilos",Philadelphos,Theophilos,,,,1
"Betterton, Thomas, 1635?-1710",Betterton,Thomas,, 1635?,1710,1
"Dekker, Thomas, ca 1572-1632",Dekker,Thomas,, ca 1572,1632,1
"Denman, Thomas, 1733-1815",Denman,Thomas,,1733,1815,1
"Dutton, Thomas, 18th/19th cent",Dutton,Thomas,, 18th/19th cent,,1
"Elyot, Thomas, Sir, 1490?-1546",Elyot,Thomas,, 1490?,1546,1
"Frewen, Thomas, 1704-1791",Frewen,Thomas,,1704,1791,1
"Henry, Thomas, 1734-1816",Henry,Thomas,,1734,1816,1
"Hobbes, Thomas, 1588-1679",Hobbes,Thomas,,1588,1679,1
"King, Thomas, fl 1791",King,Thomas,, fl 1791,,1
"Kyd, Thomas, 1558-1594",Kyd,Thomas,,1558,1594,1
"Middleton, Thomas, 1580-1627",Middleton,Thomas,,1580,1627,1
"More, Thomas, Sir, Saint, 1478-1535",More,Thomas,,1478,1535,1
"Nettleton, Thomas, 1683-1742",Nettleton,Thomas,,1683,1742,1
"Norris, Thomas, fl 1780",Norris,Thomas,, fl 1780,,1
"Purney, Thomas, 1695-ca 1727",Purney,Thomas,,1695,ca 1727,1
"Sheridan, Thomas, 1687-1738",Sheridan,Thomas,,1687,1738,1
"Taylor, Thomas, 1738-1816",Taylor,Thomas,,1738,1816,1
"Vaughan, Thomas, b 1689 or 1790",Vaughan,Thomas,, b 1689 or 1790,,1
"Wilson, Thomas, 1525?-1581",Wilson,Thomas,, 1525?,1581,1
"Dekker, Thomas and Middleton, Thomas",Dekker,Thomas and Middleton,, Thomas,,1
"Quincey, Thomas de, 1785-1859",Quincey,Thomas de,,1785,1859,1
"King, Thomas",King,Thomas,,,,1
"Matthias, Ulrich",Matthias,Ulrich,,,,1
"Farrer, W (William), d 1775",Farrer,W (William),, d 1775,,1
"Yeats, WB (William Butler), 1865-1939",Yeats,WB (William Butler),,1865,1939,1
"Lynn, Walter, 1677-1763",Lynn,Walter,,1677,1763,1
"Scott, Walter, Sir, 1771-1832",Scott,Walter,,1771,1832,1
"Irving, Washington, 1783-1859",Irving,Washington,,1783,1859,1
"Owen, Wilfred, 1893-1918",Owen,Wilfred,,1893,1918,1
"Bond, William, d 1735",Bond,William,, d 1735,,1
"Buchan, William, 1729-1805",Buchan,William,,1729,1805,1
"Cadogan, William, 1711-1797",Cadogan,William,,1711,1797,1
"Coxe, William, 1747-1828",Coxe,William,,1747,1828,1
"Dease, William, 1752?-1798",Dease,William,, 1752?,1798,1
"Godwin, William, 1756-1836",Godwin,William,,1756,1836,1
"Heath, William, 1737-1814",Heath,William,,1737,1814,1
"Hogarth, William, 1697-1764",Hogarth,William,,1697,1764,1
"Hogarth, William, ill 1697-1764",Hogarth,William,, ill 1697,1764,1
"Hutchinson, William, 1715-1801",Hutchinson,William,,1715,1801,1
"Langland, William, 1330?-1400?",Langland,William,, 1330?,1400?,1
"Law, William, 1686-1761",Law,William,,1686,1761,1
"Law, William, 1686-1761",Law,William,,1686,1761,1
"Logan, William, 1747-1772",Logan,William,,1747,1772,1
"Lynn, William, 1753-1837",Lynn,William,,1753,1837,1
"Morris, William, 1834-1896",Morris,William,,1834,1896,1
"Nolan, William, 18th cent",Nolan,William,, 18th cent,,1
"O'Brien, William, d 1815",O'Brien,William,, d 1815,,1
"Pittis, William, 1674-1724",Pittis,William,,1674,1724,1
"Popple, William, 1701-1764",Popple,William,,1701,1764,1
"Sharp, William, fl 1766-1767",Sharp,William,, fl 1766,1767,1
"Smith, William, 1727-1803",Smith,William,,1727,1803,1
"Webb, William, mate of the Doddington East Indiaman",Webb,William,, mate of the Doddington East Indiaman,,1
"Whitehead, William, of Newcastle",Whitehead,William,, of Newcastle,,1
"Woodville, William, 1752-1805",Woodville,William,,1752,1805,1
"Wycherley, William, 1640-1716",Wycherley,William,,1640,1716,1
"Howells, William Dean, 1837-1920",Howells,William Dean,,1837,1920,1
"Trinder, William Martin",Trinder,William Martin,,,,1
"Cockell, William",Cockell,William,,,,1
"Funnell, William",Funnell,William,,,,1
"Randall, William",Randall,William,,,,1
"Threlfal, William",Threlfal,William,,,,1
"Balestier, Wolcott, 1861-1891",Balestier,Wolcott,,1861,1891,1
"von Eschenbach, Wolfram, 12th cent",von Eschenbach,Wolfram,, 12th cent,,1
Anonymous,Anonymous,,,,,1
Apothecary,Apothecary,,,,,1
Aristotle,Aristotle,,,,,1
Author of The practical scheme,Author of The practical scheme,,,,,1
Clement C Moore,Clement C Moore,,,,,1
Friend to Religious and Civil Liberty,Friend to Religious and Civil Liberty,,,,,1
General Infirmary at Leeds,General Infirmary at Leeds,,,,,1
Great Britain Sovereign (1760-1820 : George III),Great Britain Sovereign (1760-1820 : George III),,,,,1
H D,H D,,,,,1
Harrison & Co,Harrison & Co,,,,,1
Hearty Well-Wisher to Publick Credit,Hearty Well-Wisher to Publick Credit,,,,,1
Late Member of the Continental Congress,Late Member of the Continental Congress,,,,,1
Late pupil of Dr Leake's,Late pupil of Dr Leake's,,,,,1
London Hospital,London Hospital,,,,,1
Margarete C Conkling,Margarete C Conkling,,,,,1
Newcastle upon Tyne (England) Dispensary,Newcastle upon Tyne (England) Dispensary,,,,,1
Ovid,Ovid,,,,,1
Person of honour,Person of honour,,,,,1
Philanthropos,Philanthropos,,,,,1
Pliny the Younger,Pliny the Younger,,,,,1
Plutarch,Plutarch,,,,,1
Pythagoras,Pythagoras,,,,,1
Royal College of Surgeons of England,Royal College of Surgeons of England,,,,,1
Well-wisher to the publick,Well-wisher to the publick,,,,,1
