author_name,first_name,last_name,title,count,eebo_total,estc_total,open-syllabus_total,ota_total,project-gutenberg_total
Frank Madden,Frank,Madden,,300,,,0.000826,,
Lyn Pykett,Lyn,Pykett,,300,,,0.000826,,
Paula Gunn Allen,Paula Gunn,Allen,,299,,,0.000824,,
Julian Hawthorne,Julian,Hawthorne,,299,,,0.000824,,
Apuleius,Apuleius,,,299,,,0.000824,,
Martin Amis,Martin,Amis,,298,,,0.000821,,
Stephen Heath,Stephen,Heath,,298,,,0.000821,,
Eric Rasmussen,Eric,Rasmussen,,298,,,0.000821,,
Michael Martone,Michael,Martone,,297,,,0.000818,,
John Gneisenau Neihardt,John Gneisenau,Neihardt,,297,,,0.000818,,
Steven Lynn,Steven,Lynn,,296,,,0.000815,,
Christopher Ricks,Christopher,Ricks,,296,,,0.000815,,
William Hazlitt,William,Hazlitt,,295,,,0.000813,,
E. T. A. Hoffmann,E E A ,Hoffmann,,295,,,0.000813,,
Henry Jenkins,Henry,Jenkins,,295,,,0.000813,,
Margaret Edson,Margaret,Edson,,294,,,0.00081,,
James Hylbert Sims,James Hylbert,Sims,,294,,,0.00081,,
Percival L. Everett,Percival L,Everett,,293,,,0.000807,,
Boris Ford,Boris,Ford,,293,,,0.000807,,
Jackie Kay,Jackie,Kay,,293,,,0.000807,,
William Leonard Lemmon,William Leonard,Lemmon,,293,,,0.000807,,
W. J. T. Mitchell,W J T,Mitchell,,293,,,0.000807,,
Kim Flachmann,Kim,Flachmann,,292,,,0.000804,,
Anne Sexton,Anne,Sexton,,292,,,0.000804,,
John Ford,John,Ford,,291,,,0.000802,,
Janet M. Goldstein,Janet M,Goldstein,,290,,,0.000799,,
Richard Lovelace,Richard,Lovelace,,290,,,0.000799,,
Stephen Minot,Stephen,Minot,,290,,,0.000799,,
L. Frank Baum,L Frank,Baum,,289,,,0.000796,,
Robert Penn Warren,Robert Penn,Warren,,289,,,0.000796,,
S. Freud,S,Freud,,288,,,0.000793,,
Louis Sachar,Louis,Sachar,,288,,,0.000793,,
David Starkey,David,Starkey,,288,,,0.000793,,
Neal Stephenson,Neal,Stephenson,,288,,,0.000793,,
Longinus,Longinus,,,288,,,0.000793,,
Roger Luckhurst,Roger,Luckhurst,,287,,,0.000791,,
David Mitchell,David,Mitchell,,286,,,0.000788,,
Gary Soto,Gary,Soto,,286,,,0.000788,,
Alison Wray,Alison,Wray,,286,,,0.000788,,
Susan Bassnett,Susan,Bassnett,,285,,,0.000785,,
Martin Heidegger,Martin,Heidegger,,285,,,0.000785,,
Hugh Kenner,Hugh,Kenner,,285,,,0.000785,,
Bob Dylan,Bob,Dylan,,284,,,0.000782,,
Octavio Paz,Octavio,Paz,,284,,,0.000782,,
Ken Gelder,Ken,Gelder,,283,,,0.000779,,
Stephen Charles Gill,Stephen Charles,Gill,,283,,,0.000779,,
Patricia Highsmith,Patricia,Highsmith,,283,,,0.000779,,
Joan Van Emden,Joan,van Emden,,283,,,0.000779,,
Courtland L. Bovée,Courtland L,Bovée,,282,,,0.000777,,
Daphne Du Maurier,Daphne,du Maurier,,282,,,0.000777,,
James W. Loewen,James W,Loewen,,282,,,0.000777,,
Rita Dove,Rita,Dove,,281,,,0.000774,,
E. J. Hobsbawm,E J,Hobsbawm,,281,,,0.000774,,
Shlomith Rimmon-Kenan,Shlomith,Rimmon-Kenan,,281,,,0.000774,,
Athol Fugard,Athol,Fugard,,280,,,0.000771,,
Christopher Nolan,Christopher,Nolan,,280,,,0.000771,,
François Rabelais,François,Rabelais,,280,,,0.000771,,
Sidonie Smith,Sidonie,Smith,,280,,,0.000771,,
David Boud,David,Boud,,279,,,0.000768,,
Martin Hewings,Martin,Hewings,,279,,,0.000768,,
Henry E. Jacobs,Henry E,Jacobs,,279,,,0.000768,,
Anthony Appiah,Anthony,Appiah,,278,,,0.000766,,
N. Katherine Hayles,N Katherine,Hayles,,278,,,0.000766,,
David Levering Lewis,David Levering,Lewis,,278,,,0.000766,,
Christine McQuade,Christine,McQuade,,278,,,0.000766,,
William James,William,James,,277,,,0.000763,,
Chang-Rae Lee,Chang-Rae,Lee,,277,,,0.000763,,
Janice A. Radway,Janice A,Radway,,277,,,0.000763,,
Richard Ruland,Richard,Ruland,,277,,,0.000763,,
Lex Williford,Lex,Williford,,277,,,0.000763,,
Julian Wolfreys,Julian,Wolfreys,,277,,,0.000763,,
John Dos Passos,John,dos Passos,,276,,,0.00076,,
James Hogg,James,Hogg,,276,,,0.00076,,
Adam Smith,Adam,Smith,,276,,,0.00076,,
Carl M. Tomlinson,Carl M,Tomlinson,,276,,,0.00076,,
Luis Valdez,Luis,Valdez,,276,,,0.00076,,
Martha Craven Nussbaum,Martha Craven,Nussbaum,,275,,,0.000757,,
J. M. Bernstein,J M,Bernstein,,274,,,0.000755,,
Brentano's. (Firm,,Brentano's,,274,,,0.000755,,
Marina Warner,Marina,Warner,,274,,,0.000755,,
Paul De Man,Paul,de Man,,273,,,0.000752,,
Fanny Fern,Fanny,Fern,,273,,,0.000752,,
Thomas Henry Huxley,Thomas Henry,Huxley,,273,,,0.000752,,
George Yule,George,Yule,,273,,,0.000752,,
J. A. Burrow,J A,Burrow,,272,,,0.000749,,
E. P. Thompson,E P,Thompson,,272,,,0.000749,,
Open University,Open,University,,272,,,0.000749,,
Steven N. Zwicker,Steven N,Zwicker,,272,,,0.000749,,
C. W. E. Bigsby,C W E,Bigsby,,271,,,0.000746,,
Patricia Bizzell,Patricia,Bizzell,,271,,,0.000746,,
F. R. Leavis,F R,Leavis,,271,,,0.000746,,
Alan Moore,Alan,Moore,,271,,,0.000746,,
Steven Pinker,Steven,Pinker,,271,,,0.000746,,
Duane H. Roen,Duane Dh,Roen,,271,,,0.000746,,
Deborah Tannen,Deborah,Tannen,,271,,,0.000746,,
Kate Tempest,Kate,Tempest,,271,,,0.000746,,
Isobel Armstrong,Isobel,Armstrong,,270,,,0.000744,,
Albert C. Baugh,Albert C,Baugh,,270,,,0.000744,,
Anne Carson,Anne,Carson,,270,,,0.000744,,
Robert Graves,Robert,Graves,,270,,,0.000744,,
David Harvey,David,Harvey,,270,,,0.000744,,
Mary K. Ruetten,Mary K,Ruetten,,270,,,0.000744,,
Michel De Certeau,Michel De,Certeau,,269,,,0.000741,,
O. Henry,O,Henry,,269,,,0.000741,,
Richard Holmes,Richard,Holmes,,269,,,0.000741,,
Marianne Moore,Marianne,Moore,,269,,,0.000741,,
William Stafford,William,Stafford,,269,,,0.000741,,
Clive Bloom,Clive,Bloom,,268,,,0.000738,,
Michael Edgar,Michael,Edgar,,268,,,0.000738,,
Michael Ward,Michael,Ward,,268,,,0.000738,,
E. K. Chambers,E K,Chambers,,267,,,0.000735,,
Christopher Paul Curtis,Christopher Paul,Curtis,,267,,,0.000735,,
Helen Louise Gardner,Helen Louise,Gardner,,267,,,0.000735,,
Jerome Stern,Jerome,Stern,,267,,,0.000735,,
Teachers & Writers Collaborative,Teachers & Writers Collaborative,,,267,,,0.000735,,
Friedrich Engels,Friedrich,Engels,,266,,,0.000733,,
Kate Flint,Kate,Flint,,266,,,0.000733,,
Gregory R. Glau,Gregory R,Glau,,266,,,0.000733,,
Barbara Nathan Hardy,Barbara Nathan,Hardy,,266,,,0.000733,,
Dudley Posthumus Lovelace,Dudley Posthumus,Lovelace,,266,,,0.000733,,
Samuel Weller Singer,Samuel Weller,Singer,,266,,,0.000733,,
Cynthia A. Boardman,Cynthia A,Boardman,,265,,,0.00073,,
George Lewis Levine,George Lewis,Levine,,265,,,0.00073,,
Judith Ortiz Cofer,Judith Ortiz,Cofer,,264,,,0.000727,,
Thomas N. Corns,Thomas N,Corns,,264,,,0.000727,,
Samuel R. Delany,Samuel R,Delany,,264,,,0.000727,,
Al-T.̣ayyib S.̣ālih,Al-Ṭayyib,Ṣālih,,264,,,0.000727,,
Dave Gibbons,Dave,Gibbons,,263,,,0.000724,,
Joanna Russ,Joanna,Russ,,263,,,0.000724,,
Rabindranath Tagore,Rabindranath,Tagore,,263,,,0.000724,,
Susan Belasco,Susan,Belasco,,262,,,0.000722,,
Peter Brooks,Peter,Brooks,,262,,,0.000722,,
Michel-Guillaume Jean Crèvecoeur,Michel-Guillaume Jean,Crèvecoeur,,262,,,0.000722,,
Mildred D. Taylor,Mildred D,Taylor,,262,,,0.000722,,
James Wood,James,Wood,,262,,,0.000722,,
Deborah Cameron,Deborah,Cameron,,261,,,0.000719,,
Marguerite Duras,Marguerite,Duras,,261,,,0.000719,,
Carol Lynch-Brown,Carol,Lynch-Brown,,261,,,0.000719,,
Sarah Waters,Sarah,Waters,,261,,,0.000719,,
Graham Huggan,Graham,Huggan,,260,,,0.000716,,
Walter Mosley,Walter,Mosley,,260,,,0.000716,,
Gillian Beer,Gillian,Beer,,259,,,0.000713,,
Wendy Bishop,Wendy,Bishop,,259,,,0.000713,,
Shelley Jackson,Shelley,Jackson,,259,,,0.000713,,
Thomas McLaughlin,Thomas,McLaughlin,,259,,,0.000713,,
W. E. Messenger,W E,Messenger,,259,,,0.000713,,
Toni Cade Bambara,Toni Cade,Bambara,,258,,,0.000711,,
Charles Bernstein,Charles,Bernstein,,258,,,0.000711,,
Laura Chrisman,Laura,Chrisman,,258,,,0.000711,,
British Council,British,Council,,258,,,0.000711,,
Kathleen McMillan,Kathleen,McMillan,,258,,,0.000711,,
Rebecca Skloot,Rebecca,Skloot,,258,,,0.000711,,
Lawrence Venuti,Lawrence,Venuti,,258,,,0.000711,,
Wolfgang Iser,Wolfgang,Iser,,257,,,0.000708,,
Marilynne Robinson,Marilynne,Robinson,,257,,,0.000708,,
Elizabeth Bowen,Elizabeth,Bowen,,256,,,0.000705,,
Max Brooks,Max,Brooks,,256,,,0.000705,,
Tom Burns,Tom,Burns,,256,,,0.000705,,
Harlan Cohen,Harlan,Cohen,,256,,,0.000705,,
B. J. Frye,B J,Frye,,256,,,0.000705,,
Diana Ridley,Diana,Ridley,,256,,,0.000705,,
Barry M. Maid,Barry M,Maid,,255,,,0.000702,,
Peter Stallybrass,Peter,Stallybrass,,255,,,0.000702,,
Jonathan D. B. Weyers,Jonathan D. B.,Weyers,,255,,,0.000702,,
Dennis Richard Danielson,Dennis Richard,Danielson,,254,,,0.0007,,
Paul Laurence Dunbar,Paul Laurence,Dunbar,,254,,,0.0007,,
Richard Dutton,Richard,Dutton,,254,,,0.0007,,
Linck C. Johnson,Linck C,Johnson,,254,,,0.0007,,
Claude McKay,Claude,McKay,,254,,,0.0007,,
Janet Horowitz Murray,Janet Horowitz,Murray,,254,,,0.0007,,
Jane P. Tompkins,Jane P,Tompkins,,254,,,0.0007,,
Bruno Bettelheim,Bruno,Bettelheim,,253,,,0.000697,,
Hélène Cixous,Hélène,Cixous,,253,,,0.000697,,
Stevie Smith,Stevie,Smith,,253,,,0.000697,,
Peter Tempest,Peter,Tempest,,253,,,0.000697,,
Nikola I.̆onkov Vaptsarov,Nikola Ĭonkov,Vaptsarov,,253,,,0.000697,,
Peter Widdowson,Peter,Widdowson,,253,,,0.000697,,
John Edgar Wideman,John Edgar,Wideman,,253,,,0.000697,,
M. Garrett Bauman,M Garrett,Bauman,,252,,,0.000694,,
Samuel Barclay Charters,Samuel Barclay,Charters,,252,,,0.000694,,
Arthur C. Clarke,Arthur C,Clarke,,252,,,0.000694,,
Georg Wilhelm Friedrich Hegel,Georg Wilhelm Friedrich,Hegel,,252,,,0.000694,,
D. J. Henry,D J,Henry,,252,,,0.000694,,
Sandra Sinfield,Sandra,Sinfield,,252,,,0.000694,,
Peter Trudgill,Peter,Trudgill,,252,,,0.000694,,
Anne Fadiman,Anne,Fadiman,,251,,,0.000691,,
Robert A. Heinlein,Robert A,Heinlein,,251,,,0.000691,,
Will Vaus,Will,Vaus,,251,,,0.000691,,
Houston A. Baker,Houston A,Baker,,250,,,0.000689,,
Rachel Bowlby,Rachel,Bowlby,,250,,,0.000689,,
Lenard D. Moore,Lenard D,Moore,,250,,,0.000689,,
Eckart Schäfer,Eckart,Schäfer,,250,,,0.000689,,
Charlotte Smith,Charlotte,Smith,,250,,,0.000689,,
Robert Cormier,Robert,Cormier,,249,,,0.000686,,
John Osborne,John,Osborne,,249,,,0.000686,,
Robert Dale Parker,Robert Dale,Parker,,249,,,0.000686,,
Aime Césaire,Aime,Césaire,,248,,,0.000683,,
Walt Disney,Walt,Disney,,248,,,0.000683,,
S. E. Hinton,S E,Hinton,,248,,,0.000683,,
Christopher Isherwood,Christopher,Isherwood,,248,,,0.000683,,
George Alexander Kennedy,George Alexander,Kennedy,,248,,,0.000683,,
Thomas Morton,Thomas,Morton,,248,,,0.000683,,
Michael Cunningham,Michael,Cunningham,,247,,,0.00068,,
Jane Goldman,Jane,Goldman,,247,,,0.00068,,
Rowena Murray,Rowena,Murray,,247,,,0.00068,,
John Okada,John,Okada,,247,,,0.00068,,
Tomás Rivera,Tomás,Rivera,,247,,,0.00068,,
Martin McDonagh,Martin,McDonagh,,246,,,0.000678,,
Azar Nafisi,Azar,Nafisi,,246,,,0.000678,,
Mark Saunders,Mark,Saunders,,246,,,0.000678,,
Peter Faulkner,Peter,Faulkner,,245,,,0.000675,,
Louis D. Giannetti,Louis D,Giannetti,,245,,,0.000675,,
George Gissing,George,Gissing,,245,,,0.000675,,
British Film Institute,British Film,Institute,,245,,,0.000675,,
Lawrence S. Rainey,Lawrence S,Rainey,,245,,,0.000675,,
Will Eisner,Will,Eisner,,243,,,0.000669,,
Betty Friedan,Betty,Friedan,,243,,,0.000669,,
Alfred Harbage,Alfred,Harbage,,243,,,0.000669,,
C. L. R. James,C. L. R.,James,,243,,,0.000669,,
Mark Johnson,Mark,Johnson,,243,,,0.000669,,
Charles Olson,Charles,Olson,,243,,,0.000669,,
Pablo Picasso,Pablo,Picasso,,243,,,0.000669,,
Barbara M. H. Strang,Barbara M. H.,Strang,,243,,,0.000669,,
Horatio Alger,Horatio,Alger,,242,,,0.000667,,
Robert Coover,Robert,Coover,,242,,,0.000667,,
James McBride,James,McBride,,242,,,0.000667,,
Louis Owens,Louis,Owens,,242,,,0.000667,,
Pat Rogers,Pat,Rogers,,242,,,0.000667,,
Tony Bennett,Tony,Bennett,,241,,,0.000664,,
Lennard J. Davis,Lennard J,Davis,,241,,,0.000664,,
Bret Easton Ellis,Bret Easton,Ellis,,241,,,0.000664,,
Arthur Kirsch,Arthur,Kirsch,,241,,,0.000664,,
Tom Wolfe,Tom,Wolfe,,241,,,0.000664,,
Derek Brewer,Derek,Brewer,,240,,,0.000661,,
Baldassarre Castiglione,Baldassarre,Castiglione,,240,,,0.000661,,
Walter Edwards Houghton,Walter Edwards,Houghton,,240,,,0.000661,,
Thomas S. Kane,Thomas S,Kane,,240,,,0.000661,,
Federico García Lorca,Federico García,Lorca,,240,,,0.000661,,
Giorgio Agamben,Giorgio,Agamben,,239,,,0.000658,,
Christopher Vogler,Christopher,Vogler,,238,,,0.000656,,
Hayden V. White,Hayden V,White,,238,,,0.000656,,
Loraine Blaxter,Loraine,Blaxter,,237,,,0.000653,,
Charlie Chaplin,Charlie,Chaplin,,237,,,0.000653,,
Karen Hesse,Karen,Hesse,,237,,,0.000653,,
Christina Hughes,Christina,Hughes,,237,,,0.000653,,
James Hurt,James,Hurt,,237,,,0.000653,,
Mary Jacobus,Mary,Jacobus,,237,,,0.000653,,
Mark Lester,Mark,Lester,,237,,,0.000653,,
Susan Sellers,Susan,Sellers,,237,,,0.000653,,
Eric J. Sundquist,Eric J,Sundquist,,237,,,0.000653,,
Malcolm Tight,Malcolm,Tight,,237,,,0.000653,,
Jerrold E. Hogle,Jerrold E,Hogle,,236,,,0.00065,,
R. K. Narayan,R K,Narayan,,236,,,0.00065,,
Mary Wroth,Mary,Wroth,,236,,,0.00065,,
Piero Boitani,Piero,Boitani,,235,,,0.000647,,
Emory Elliott,Emory,Elliott,,235,,,0.000647,,
Jeremy Hawthorn,Jeremy,Hawthorn,,235,,,0.000647,,
Janet Holmes,Janet,Holmes,,235,,,0.000647,,
Arthur C. Kirsch,Arthur C,Kirsch,,235,,,0.000647,,
Aemilia Lanyer,Aemilia,Lanyer,,235,,,0.000647,,
Robert McCrum,Robert,McCrum,,235,,,0.000647,,
James Procter,James,Procter,,235,,,0.000647,,
John Storey,John,Storey,,235,,,0.000647,,
John V. Thill,John V,Thill,,235,,,0.000647,,
John Berryman,John,Berryman,,234,,,0.000645,,
Jeannette Walls,Jeannette,Walls,,234,,,0.000645,,
Bruce Herzberg,Bruce,Herzberg,,233,,,0.000642,,
Stephen Thomas Knight,Stephen Thomas,Knight,,233,,,0.000642,,
Jahan Ramazani,Jahan,Ramazani,,233,,,0.000642,,
Paul V. Anderson,Paul V,Anderson,,232,,,0.000639,,
Emma Lazarus,Emma,Lazarus,,232,,,0.000639,,
Alexis De Tocqueville,Alexis De,Tocqueville,,232,,,0.000639,,
Robert Wallace,Robert,Wallace,,232,,,0.000639,,
Kate Williams,Kate,Williams,,232,,,0.000639,,
Robert A. Day,Robert A,Day,,231,,,0.000636,,
Alex Haley,Alex,Haley,,231,,,0.000636,,
Richard Hugo,Richard,Hugo,,231,,,0.000636,,
Wolfgang Amadeus Mozart,Wolfgang Amadeus,Mozart,,231,,,0.000636,,
Patrick Williams,Patrick,Williams,,231,,,0.000636,,
Thomas C. Foster,Thomas C,Foster,,230,,,0.000634,,
Janet Giltrow,Janet,Giltrow,,230,,,0.000634,,
Bill Mascull,Bill,Mascull,,230,,,0.000634,,
Patrick Parrinder,Patrick,Parrinder,,230,,,0.000634,,
Douglas Sirk,Douglas,Sirk,,230,,,0.000634,,
Anna Deavere Smith,Anna Deavere,Smith,,230,,,0.000634,,
John Winthrop,John,Winthrop,,230,,,0.000634,,
Douglas Dean Hesse,Douglas Dean,Hesse,,229,,,0.000631,,
Meredith Skura,Meredith,Skura,,229,,,0.000631,,
Neil Thompson,Neil,Thompson,,229,,,0.000631,,
Chrétien De Troyes,Chrétien,de Troyes,,228,,,0.000628,,
John Gray,John,Gray,,228,,,0.000628,,
Joel Chandler Harris,Joel Chandler,Harris,,228,,,0.000628,,
Eliza Fowler Haywood,Eliza Fowler,Haywood,,228,,,0.000628,,
Gunther R. Kress,Gunther R,Kress,,228,,,0.000628,,
Edwin Stanton Porter,Edwin Stanton,Porter,,228,,,0.000628,,
H. Porter Abbott,H Porter,Abbott,,227,,,0.000625,,
Mieke Bal,Mieke,Bal,,227,,,0.000625,,
James T. Como,James T,Como,,227,,,0.000625,,
Cora Kaplan,Cora,Kaplan,,227,,,0.000625,,
Arnold Krupat,Arnold,Krupat,,227,,,0.000625,,
George Miller,George,Miller,,227,,,0.000625,,
Regina L. Smalley,Regina L,Smalley,,227,,,0.000625,,
Chrétien,Chrétien,,,227,,,0.000625,,
Molière,Molière,,,227,,,0.000625,,
Charles Baxter,Charles,Baxter,,226,,,0.000622,,
William Wells Brown,William Wells,Brown,,226,,,0.000622,,
William Goldman,William,Goldman,,226,,,0.000622,,
L. M. Montgomery,L M,Montgomery,,226,,,0.000622,,
Titus Maccius Plautus,Titus Maccius,Plautus,,226,,,0.000622,,
Chaim Potok,Chaim,Potok,,226,,,0.000622,,
Andrew Bennett,Andrew,Bennett,,225,,,0.00062,,
Thomas Carter,Thomas,Carter,,225,,,0.00062,,
Barbara Drake,Barbara,Drake,,225,,,0.00062,,
John Fiske,John,Fiske,,225,,,0.00062,,
Juliet McMaster,Juliet,McMaster,,225,,,0.00062,,
David Norbrook,David,Norbrook,,225,,,0.00062,,
Andrew Sanders,Andrew,Sanders,,225,,,0.00062,,
David Silverman,David,Silverman,,225,,,0.00062,,
Ronald T. Takaki,Ronald T,Takaki,,225,,,0.00062,,
Graeme Harper,Graeme,Harper,,224,,,0.000617,,
James Knowlson,James,Knowlson,,224,,,0.000617,,
Dennis Walder,Dennis,Walder,,224,,,0.000617,,
Gregory,Gregory,,,224,,,0.000617,,
Richard Bradford,Richard,Bradford,,223,,,0.000614,,
Margreta De Grazia,Margreta De,Grazia,,223,,,0.000614,,
John Guillory,John,Guillory,,223,,,0.000614,,
Beverly Lawn,Beverly,Lawn,,223,,,0.000614,,
Cary Nelson,Cary,Nelson,,223,,,0.000614,,
Andre Breton,Andre,Breton,,222,,,0.000611,,
E. J. Clery,E J,Clery,,222,,,0.000611,,
Robert Crawford,Robert,Crawford,,222,,,0.000611,,
Bartolomé De Las Casas,Bartolomé,De Las Casas,,222,,,0.000611,,
George Saunders,George,Saunders,,222,,,0.000611,,
Heather Sellers,Heather,Sellers,,222,,,0.000611,,
William Cowper,William,Cowper,,221,,,0.000609,,
Andre Dubus,Andre,Dubus,,221,,,0.000609,,
Guy De Maupassant,Guy De,Maupassant,,221,,,0.000609,,
Helen Cooper,Helen,Cooper,,220,,,0.000606,,
Helen Fielding,Helen,Fielding,,220,,,0.000606,,
Jessica Tarahata Hagedorn,Jessica Tarahata,Hagedorn,,220,,,0.000606,,
Perry Miller,Perry,Miller,,220,,,0.000606,,
Stephen Reid,Stephen,Reid,,220,,,0.000606,,
Larry Beason,Larry,Beason,,219,,,0.000603,,
Leslie Feinberg,Leslie,Feinberg,,219,,,0.000603,,
Roman Jakobson,Roman,Jakobson,,219,,,0.000603,,
Frank McCourt,Frank,McCourt,,219,,,0.000603,,
Christopher Sergel,Christopher,Sergel,,219,,,0.000603,,
Donald Barthelme,Donald,Barthelme,,218,,,0.0006,,
Kate DiCamillo,Kate,DiCamillo,,218,,,0.0006,,
John Fletcher,John,Fletcher,,218,,,0.0006,,
Jonathan Franzen,Jonathan,Franzen,,218,,,0.0006,,
Saikaku Ihara,Saikaku,Ihara,,218,,,0.0006,,
James Thurber,James,Thurber,,218,,,0.0006,,
Bede,Bede,,,218,,,0.0006,,
Daniel Anderson,Daniel,Anderson,,217,,,0.000598,,
Deirdre David,Deirdre,David,,217,,,0.000598,,
Lajos Egri,Lajos,Egri,,217,,,0.000598,,
Fritz Lang,Fritz,Lang,,217,,,0.000598,,
Perry Nodelman,Perry,Nodelman,,217,,,0.000598,,
Orson Welles,Orson,Welles,,217,,,0.000598,,
Edward Copeland,Edward,Copeland,,216,,,0.000595,,
Syd Field,Syd,Field,,216,,,0.000595,,
Naomi Klein,Naomi,Klein,,216,,,0.000595,,
Margaret Laurence,Margaret,Laurence,,216,,,0.000595,,
Friedrich Wilhelm Murnau,Friedrich Wilhelm,Murnau,,216,,,0.000595,,
Frank O.'Hara,Frank,O'Hara,,216,,,0.000595,,
Richard Paul,Richard,Paul,,216,,,0.000595,,
James Phelan,James,Phelan,,216,,,0.000595,,
Paula R. Backscheider,Paula R,Backscheider,,215,,,0.000592,,
Mona Baker,Mona,Baker,,215,,,0.000592,,
Carlos Bulosan,Carlos,Bulosan,,215,,,0.000592,,
David Malouf,David,Malouf,,215,,,0.000592,,
Robert Nemiroff,Robert,Nemiroff,,215,,,0.000592,,
A. C. Bradley,A C,Bradley,,214,,,0.000589,,
Richard Danson Brown,Richard Danson,Brown,,214,,,0.000589,,
Gaius Valerius Catullus,Gaius Valerius,Catullus,,214,,,0.000589,,
Tomson Highway,Tomson,Highway,,214,,,0.000589,,
Bruce Mitchell,Bruce,Mitchell,,214,,,0.000589,,
Mike Wallace,Mike,Wallace,,214,,,0.000589,,
Anne Bernays,Anne,Bernays,,213,,,0.000587,,
John Green,John,Green,,213,,,0.000587,,
Erich Maria Remarque,Erich Maria,Remarque,,213,,,0.000587,,
Mick Short,Mick,Short,,213,,,0.000587,,
Lionel Stevenson,Lionel,Stevenson,,213,,,0.000587,,
Rene Wellek,Rene,Wellek,,213,,,0.000587,,
Susan Bordo,Susan,Bordo,,212,,,0.000584,,
Kenneth Grahame,Kenneth,Grahame,,212,,,0.000584,,
Walker Percy,Walker,Percy,,212,,,0.000584,,
Francine Prose,Francine,Prose,,212,,,0.000584,,
Burton Raffel,Burton,Raffel,,212,,,0.000584,,
David Wallace,David,Wallace,,212,,,0.000584,,
Zitkala-S.̈A,Zitkala-S̈A,,,212,,,0.000584,,
Gerald Eades Bentley,Gerald Eades,Bentley,,211,,,0.000581,,
Michelle Boisseau,Michelle,Boisseau,,211,,,0.000581,,
Jerome Hamilton Buckley,Jerome Hamilton,Buckley,,211,,,0.000581,,
Moira Ferguson,Moira,Ferguson,,211,,,0.000581,,
Susan Howe,Susan,Howe,,211,,,0.000581,,
Francis Otto Matthiessen,Francis Otto,Matthiessen,,211,,,0.000581,,
Richard Powers,Richard,Powers,,211,,,0.000581,,
Paul Werstine,Paul,Werstine,,211,,,0.000581,,
Julian Barnes,Julian,Barnes,,210,,,0.000578,,
Robert DeMaria,Robert,DeMaria,,210,,,0.000578,,
William Empson,William,Empson,,210,,,0.000578,,
"David, May Johnson",David,Johnson,,210,,,0.000578,,
Denise Levertov,Denise,Levertov,,210,,,0.000578,,
John Peter Rumrich,John Peter,Rumrich,,210,,,0.000578,,
Sergei Eisenstein,Sergei,Eisenstein,,209,,,0.000576,,
Max Horkheimer,Max,Horkheimer,,209,,,0.000576,,
Mikhail I.︠U︡rʹevich Lermontov,Mikhail Yuryevich,Lermontov,,209,,,0.000576,,
Bonnie Kime Scott,Bonnie Kime,Scott,,209,,,0.000576,,
Paul Simpson,Paul,Simpson,,209,,,0.000576,,
Robert Stam,Robert,Stam,,209,,,0.000576,,
Julia Watson,Julia,Watson,,209,,,0.000576,,
Basil Willey,Basil,Willey,,209,,,0.000576,,
Cristina GarcíA,Cristina,GarcíA,,208,,,0.000573,,
Robert Keith Miller,Robert Keith,Miller,,208,,,0.000573,,
George A. Romero,George A,Romero,,208,,,0.000573,,
Gayle Rubin,Gayle,Rubin,,208,,,0.000573,,
Gerald Robert Vizenor,Gerald Robert,Vizenor,,208,,,0.000573,,
Michael Warner,Michael,Warner,,208,,,0.000573,,
Jia Frydenberg,Jia,Frydenberg,,207,,,0.00057,,
Roger Lancelyn Green,Roger Lancelyn,Green,,207,,,0.00057,,
Richard A. Grusin,Richard A,Grusin,,207,,,0.00057,,
Joseph Sheridan Le Fanu,Joseph Sheridan,Le Fanu,,207,,,0.00057,,
Peter Milward,Peter,Milward,,207,,,0.00057,,
Jacqueline Rose,Jacqueline,Rose,,207,,,0.00057,,
Charlotte Turner Smith,Charlotte Turner,Smith,,207,,,0.00057,,
T. H. White,T H,White,,207,,,0.00057,,
Peter G. Beidler,Peter G,Beidler,,206,,,0.000567,,
J. A. Bryant,J A,Bryant,,206,,,0.000567,,
David Daiches,David,Daiches,,206,,,0.000567,,
Martyn Denscombe,Martyn,Denscombe,,206,,,0.000567,,
Robert Shapard,Robert,Shapard,,206,,,0.000567,,
Sheila Cooper,Sheila,Cooper,,205,,,0.000565,,
Denis Johnson,Denis,Johnson,,205,,,0.000565,,
Dorianne Laux,Dorianne,Laux,,205,,,0.000565,,
Rosemary Patton,Rosemary,Patton,,205,,,0.000565,,
George Steiner,George,Steiner,,205,,,0.000565,,
Jess Walter,Jess,Walter,,205,,,0.000565,,
Robert J. C. Young,Robert J. C.,Young,,205,,,0.000565,,
Arjun Appadurai,Arjun,Appadurai,,204,,,0.000562,,
David Lynch,David,Lynch,,204,,,0.000562,,
Roman Polanski,Roman,Polanski,,204,,,0.000562,,
I. A. Richards,I A,Richards,,204,,,0.000562,,
Jerry Spinelli,Jerry,Spinelli,,204,,,0.000562,,
Leslie A. Fiedler,Leslie A,Fiedler,,203,,,0.000559,,
David Graddol,David,Graddol,,203,,,0.000559,,
Nick Hornby,Nick,Hornby,,203,,,0.000559,,
Gary R. Low,Gary R,Low,,203,,,0.000559,,
Jon Mee,Jon,Mee,,203,,,0.000559,,
Darwin B. Nelson,Darwin B,Nelson,,203,,,0.000559,,
Anne Rice,Anne,Rice,,203,,,0.000559,,
Diana Wallace,Diana,Wallace,,203,,,0.000559,,
Billy Wilder,Billy,Wilder,,203,,,0.000559,,
