author_name,last_name,first_name,title,birthdate,deathdate,misc1,misc2,misc3,misc4,,misc5,count,fraction_total,dataset
"Dalrymple, David, Sir, 1726-1792.",Dalrymple,David,,1726,1792,,,,,,,3,0.000317729,estc
"Vairasse, Denis, ca. 1630-ca. 1696.",Vairasse,Denis,, ca. 1630,1696,,,,,,,3,0.000317729,estc
"Chavis, Denis.",Chavis,Denis,,,,,,,,,,3,0.000317729,estc
"Chavis, Denis.",Chavis,Denis,,,,,,,,,,3,0.000317729,estc
"Bohun, Edmund, 1645-1699.",Bohun,Edmund,,1645,1699,,,,,,,3,0.000317729,estc
"Law, Edmund, 1703-1787.",Law,Edmund,,1703,1787,,,,,,,3,0.000317729,estc
"Ward, Edward, 1667-1731.",Ward,Edward,,1667,1731,,,,,,,3,0.000317729,estc
"Kimber, Edward, 1719-1769.",Kimber,Edward,,1719,1769,,,,,,,3,0.000317729,estc
"Harwood, Edward, 1729-1794.",Harwood,Edward,,1729,1794,,,,,,,3,0.000317729,estc
"Warner, Ferdinando, 1703-1768.",Warner,Ferdinando,,1703,1768,,,,,,,3,0.000317729,estc
"Pétis de La Croix, François, 1653-1713.",Pétis de La Croix,François,,1653,1713,,,,,,,3,0.000317729,estc
"Clavigero, Francesco Saverio, 1731-1787.",Clavigero,Francesco Saverio,,1731,1787,,,,,,,3,0.000317729,estc
"Ivernois, Francis d', Sir, 1757-1842.",Ivernois,Francis d',,1757,1842,,,,,,,3,0.000317729,estc
"Pétis de la Croix, François, 1653-1713.",Pétis de la Croix,François,,1653,1713,,,,,,,3,0.000317729,estc
"Catullus, Gaius Valerius.",Catullus,Gaius Valerius,,,,,,,,,,3,0.000317729,estc
"Gillespie, George, 1613-1648.",Gillespie,George,,1613,1648,,,,,,,3,0.000317729,estc
"Halifax, George Savile, Marquis of, 1633-1695.",Savile,George,,1633,1695,,,,,,,3,0.000317729,estc
"Hickes, George, 1642-1715.",Hickes,George,,1642,1715,,,,,,,3,0.000317729,estc
"Mackenzie, George, 1669-1725.",Mackenzie,George,,1669,1725,,,,,,,3,0.000317729,estc
"Whitefield, George, 1714-1770.",Whitefield,George,,1714,1770,,,,,,,3,0.000317729,estc
"Washington, George, 1732-1799.",Washington,George,,1732,1799,,,,,,,3,0.000317729,estc
"Huddesford, George, 1749-1809.",Huddesford,George,,1749,1809,,,,,,,3,0.000317729,estc
"Ellis, George, 1753-1815.",Ellis,George,,1753,1815,,,,,,,3,0.000317729,estc
"Walker, George, 1772-1847.",Walker,George,,1772,1847,,,,,,,3,0.000317729,estc
"Stuart, Gilbert, 1742-1786.",Stuart,Gilbert,,1742,1786,,,,,,,3,0.000317729,estc
"Wakefield, Gilbert, 1756-1801.",Wakefield,Gilbert,,1756,1801,,,,,,,3,0.000317729,estc
"Mariti, Giovanni, 1736-1806.",Mariti,Giovanni,,1736,1806,,,,,,,3,0.000317729,estc
"Gelli, Giovanni Battista, 1498-1563.",Gelli,Giovanni Battista,,1498,1563,,,,,,,3,0.000317729,estc
"Griffin, Gregory.",Griffin,Gregory,,,,,,,,,,3,0.000317729,estc
"Joly, Guy, d. 1678.",Joly,Guy,,,1678,,,,,,,3,0.000317729,estc
"Luxborough, Henrietta (Saint-John) Knight, lady, d. 1756.",Luxborough,Henrietta,,,1756,,,,,,,3,0.000317729,estc
"Felton, Henry, 1679-1740.",Felton,Henry,,1679,1740,,,,,,,3,0.000317729,estc
"Pemberton, Henry, 1694-1771.",Pemberton,Henry,,1694,1771,,,,,,,3,0.000317729,estc
"Hunter, Henry, 1741-1802.",Hunter,Henry,,1741,1802,,,,,,,3,0.000317729,estc
"Melville, Henry Dundas, Viscount, 1742-1811.",Dundas,Henry,,1742,1811,,,,,,,3,0.000317729,estc
"Abergavenny, Henry Nevill, 2d earl of, 1755-1843",Nevill,Henry,,1755,1843,,,,,,,3,0.000317729,estc
"Lloyd, Henry, ca. 1720-1783.",Lloyd,Henry,, ca. 1720,1783,,,,,,,3,0.000317729,estc
"Dagge, Henry.",Dagge,Henry,,,,,,,,,,3,0.000317729,estc
"Walpole, Horatio Walpole, Baron, 1678-1757.",Walpole,Horatio,,1678,1757,,,,,,,3,0.000317729,estc
"Blair, Hugh, 1718-1800.",Blair,Hugh,,1718,1800,,,,,,,3,0.000317729,estc
"Bickerstaff, Isaac, 1735-1812.",Bickerstaff,Isaac,,1735,1812,,,,,,,3,0.000317729,estc
"Disraeli, Isaac, 1766-1848.",Disraeli,Isaac,,1766,1848,,,,,,,3,0.000317729,estc
"Robertson, J. 1726-1802.",Robertson,J,,1726,1802,,,,,,,3,0.000317729,estc
"Lemaistre, J. G. (John Gustavus), d. 1840,",Lemaistre,John Gustavus,,,1840,,,,,,,3,0.000317729,estc
"Murray, James, 1732-1782.",Murray,James,,1732,1782,,,,,,,3,0.000317729,estc
"Scott, James, 1733-1814.",Scott,James,,1733,1814,,,,,,,3,0.000317729,estc
"Greenwood, James, d. 1737.",Greenwood,James,,,1737,,,,,,,3,0.000317729,estc
"Dodson, James, d. 1757.",Dodson,James,,,1757,,,,,,,3,0.000317729,estc
"Bonner, James, writer on bee-keeping.",Bonner,James,,,,,,,,,,3,0.000317729,estc
"Mullalla, James.",Mullalla,James,,,,,,,,,,3,0.000317729,estc
"Le Clerc, Jean, 1657-1736.",Le Clerc,Jean,,1657,1736,,,,,,,3,0.000317729,estc
"Dubois-Fontanelle, Jean Gaspard, 1737-1812.",Dubois-Fontanelle,Jean Gaspard,,1737,1812,,,,,,,3,0.000317729,estc
"Marmontel, Jean-François, 1723-1799.",Marmontel,Jean-François,,1723,1799,,,,,,,3,0.000317729,estc
"Winckelmann, Johann Joachim, 1717-1768.",Winckelmann,Johann Joachim,,1717,1768,,,,,,,3,0.000317729,estc
"Archenholz, Johann Wilhelm von, 1743-1812.",Archenholz,Johann Wilhelm von,,1743,1812,,,,,,,3,0.000317729,estc
"Fletcher, John, 1579-1625.",Fletcher,John,,1579,1625,,,,,,,3,0.000317729,estc
"Owen, John, 1616-1683.",Owen,John,,1616,1683,,,,,,,3,0.000317729,estc
"Newton, John, 1622-1678.",Newton,John,,1622,1678,,,,,,,3,0.000317729,estc
"Somers, John Somers, Baron, 1651-1716.",Somers,John,,1651,1716,,,,,,,3,0.000317729,estc
"Dennis, John, 1657-1734.",Dennis,John,,1657,1734,,,,,,,3,0.000317729,estc
"Mottley, John, 1692-1750.",Mottley,John,,1692,1750,,,,,,,3,0.000317729,estc
"Conybeare, John, 1692-1755.",Conybeare,John,,1692,1755,,,,,,,3,0.000317729,estc
"Henley, John, 1692-1756.",Henley,John,,1692,1756,,,,,,,3,0.000317729,estc
"Chapman, John, 1704-1784.",Chapman,John,,1704,1784,,,,,,,3,0.000317729,estc
"Kirkby, John, 1705-1754.",Kirkby,John,,1705,1754,,,,,,,3,0.000317729,estc
"Mason, John, 1706-1763.",Mason,John,,1706,1763,,,,,,,3,0.000317729,estc
"Upton, John, 1707-1760.",Upton,John,,1707,1760,,,,,,,3,0.000317729,estc
"Hawkins, John, Sir, 1719-1789.",Hawkins,John,,1719,1789,,,,,,,3,0.000317729,estc
"Woolman, John, 1720-1772.",Woolman,John,,1720,1772,,,,,,,3,0.000317729,estc
"Smeaton, John, 1724-1792.",Smeaton,John,,1724,1792,,,,,,,3,0.000317729,estc
"Scott, John, 1731-1783.",Scott,John,,1731,1783,,,,,,,3,0.000317729,estc
"Trusler, John, 1735-1820.",Trusler,John,,1735,1820,,,,,,,3,0.000317729,estc
"Cartwright, John, 1740-1824.",Cartwright,John,,1740,1824,,,,,,,3,0.000317729,estc
"Brand, John, 1744-1806.",Brand,John,,1744,1806,,,,,,,3,0.000317729,estc
"Bruce, John, 1745-1826.",Bruce,John,,1745,1826,,,,,,,3,0.000317729,estc
"Bowdler, John, 1746-1823.",Bowdler,John,,1746,1823,,,,,,,3,0.000317729,estc
"Penn, John, 1760-1834.",Penn,John,,1760,1834,,,,,,,3,0.000317729,estc
"Harris, John, 1667?-1719.",Harris,John,, 1667?,1719,,,,,,,3,0.000317729,estc
"Potter, John, 1673 or 4-1747.",Potter,John,, 1673 or 4,1747,,,,,,,3,0.000317729,estc
"Richardson, John, 1740 or 41-1795.",Richardson,John,, 1740 or 41,1795,,,,,,,3,0.000317729,estc
"Adams, John, 1750?-1814.",Adams,John,, 1750?,1814,,,,,,,3,0.000317729,estc
"Dudley and Ward, John Ward, Viscount, ca. 1700-1774.",Ward,John,, ca. 1700,1774,,,,,,,3,0.000317729,estc
"Love, John, fl. 1688.",Love,John,, fl. 1688.,,,,,,,,3,0.000317729,estc
"Harvey, John, fl. 1702-1729.",Harvey,John,, fl. 1702,1729,,,,,,,3,0.000317729,estc
"Tremaine, John, Sir, d. 1694.",Tremaine,John,,,1694,,,,,,,3,0.000317729,estc
"Ecton, John, d. 1730.",Ecton,John,,,1730,,,,,,,3,0.000317729,estc
"Cooke, John, Rector of Wentnor, Salop.",Cooke,John,,,,,,,,,,3,0.000317729,estc
"Mandeville, John, Sir.",Mandeville,John,,,,,,,,,,3,0.000317729,estc
"Thomson, John, accountant of Edinburgh.",Thomson,John,,,,,,,,,,3,0.000317729,estc
"Mair, John.",Mair,John,,,,,,,,,,3,0.000317729,estc
"Rowe, John.",Rowe,John,,,,,,,,,,3,0.000317729,estc
"Richardson, Jonathan, 1665-1745.",Richardson,Jonathan,,1665,1745,,,,,,,3,0.000317729,estc
"Besse, Joseph, 1683?-1757.",Besse,Joseph,, 1683?,1757,,,,,,,3,0.000317729,estc
"Walker, Joseph C. d. 1810.",Walker,Joseph C,,,1810,,,,,,,3,0.000317729,estc
"Tournefort, Joseph Pitton de, 1656-1708.",Tournefort,Joseph Pitton de,,1656,1708,,,,,,,3,0.000317729,estc
"Barnes, Joshua, 1654-1712.",Barnes,Joshua,,1654,1712,,,,,,,3,0.000317729,estc
"Burchett, Josiah, 1666?-1746.",Burchett,Josiah,, 1666?,1746,,,,,,,3,0.000317729,estc
"Rede, Leman Thomas, 1754 or 5-1810.",Rede,Leman Thomas,, 1754 or 5,1810,,,,,,,3,0.000317729,estc
"MacNally, Leonard, 1752-1820.",MacNally,Leonard,,1752,1820,,,,,,,3,0.000317729,estc
"G. G. and J. Robinson (Paternoster Row, London, England).",G G and J Robinson (Paternoster Row,London,,,,,,,,,,3,0.000317729,estc
"Cléry, M., 1759-1809.",Cléry,M,,1759,1809,,,,,,,3,0.000317729,estc
"Saint-Foix, M. de 1698-1776.",Saint-Foix,M de,,1698,1776,,,,,,,3,0.000317729,estc
"Sainte-Palaye, M. de La Curne de 1697-1781.",Sainte-Palaye,M de La Curne de,,1697,1781,,,,,,,3,0.000317729,estc
"Vida, Marco Girolamo, ca. 1485-1566.",Vida,Marco Girolamo,, ca. 1485,1566,,,,,,,3,0.000317729,estc
"Strong, Martin.",Strong,Martin,,,,,,,,,,3,0.000317729,estc
"Earbery, Matthias.",Earbery,Matthias,,,,,,,,,,3,0.000317729,estc
"Benyowsky, Maurice Auguste, comte de, 1746-1786.",Auguste,Maurice,,1746,1786,,,,,,,3,0.000317729,estc
"Mendez, Moses, d. 1758.",Mendez,Moses,,,1758,,,,,,,3,0.000317729,estc
"Leapor, Mrs. 1722-1746.",Leapor,,Mrs,1722,1746,,,,,,,3,0.000317729,estc
"Griffith, Mrs. 1720?-1793.",Griffith,,Mrs,1720?,1793,,,,,,,3,0.000317729,estc
"Hooke, Nathaniel, 1664-1738.",Hooke,Nathaniel,,1664,1738,,,,,,,3,0.000317729,estc
"Whittemore, Nathaniel, 1673-1754.",Whittemore,Nathaniel,,1673,1754,,,,,,,3,0.000317729,estc
"Halhed, Nathaniel Brassey, 1751-1830.",Halhed,Nathaniel Brassey,,1751,1830,,,,,,,3,0.000317729,estc
"Brady, Nicholas, 1659-1726.",Brady,Nicholas,,1659,1726,,,,,,,3,0.000317729,estc
"Xenophon, of Ephesus.",Xenophon,of Ephesus,,,,,,,,,,3,0.000317729,estc
"Hentzner, Paul, 1558-1623.",Hentzner,Paul,,1558,1623,,,,,,,3,0.000317729,estc
"Whitehead, Paul, 1710-1774.",Whitehead,Paul,,1710,1774,,,,,,,3,0.000317729,estc
"Stockdale, Percival, 1736-1811.",Stockdale,Percival,,1736,1811,,,,,,,3,0.000317729,estc
"Regnault, Père 1683-1762.",Regnault,Père,,1683,1762,,,,,,,3,0.000317729,estc
"Massinger, Philip, 1583-1640.",Massinger,Philip,,1583,1640,,,,,,,3,0.000317729,estc
"Macquer, Pierre Joseph, 1718-1784.",Macquer,Pierre Joseph,,1718,1784,,,,,,,3,0.000317729,estc
"Huet, Pierre-Daniel, 1630-1721.",Huet,Pierre-Daniel,,1630,1721,,,,,,,3,0.000317729,estc
"Charlevoix, Pierre-François-Xavier de, 1682-1761.",Charlevoix,Pierre-François-Xavier de,,1682,1761,,,,,,,3,0.000317729,estc
"Giannone, Pietro, 1676-1748.",Giannone,Pietro,,1676,1748,,,,,,,3,0.000317729,estc
"Heathcote, Ralph, 1721-1795.",Heathcote,Ralph,,1721,1795,,,,,,,3,0.000317729,estc
"Rapin, René, 1621-1687.",Rapin,René,,1621,1687,,,,,,,3,0.000317729,estc
"Apollonius, Rhodius.",Apollonius,Rhodius,,,,,,,,,,3,0.000317729,estc
"Porson, Richard, 1759-1808.",Porson,Richard,,1759,1808,,,,,,,3,0.000317729,estc
"Dinmore, Richard, 1765-1811.",Dinmore,Richard,,1765,1811,,,,,,,3,0.000317729,estc
"Walter, Richard, 1716?-1785.",Walter,Richard,, 1716?,1785,,,,,,,3,0.000317729,estc
"Blackmore, Richard, Sir, d. 1729.",Blackmore,Richard,,,1729,,,,,,,3,0.000317729,estc
"Barclay, Robert, 1648-1690.",Barclay,Robert,,1648,1690,,,,,,,3,0.000317729,estc
"Bolton, Robert, 1697-1763.",Bolton,Robert,,1697,1763,,,,,,,3,0.000317729,estc
"Masters, Robert, 1713-1798.",Masters,Robert,,1713,1798,,,,,,,3,0.000317729,estc
"Jephson, Robert, 1736-1803.",Jephson,Robert,,1736,1803,,,,,,,3,0.000317729,estc
"Merry, Robert, 1755-1798.",Merry,Robert,,1755,1798,,,,,,,3,0.000317729,estc
"Wood, Robert, 1717?-1771.",Wood,Robert,, 1717?,1771,,,,,,,3,0.000317729,estc
"Clavell, Robert, d. 1711.",Clavell,Robert,,,1711,,,,,,,3,0.000317729,estc
"Manning, Robert, d. 1731.",Manning,Robert,,,1731,,,,,,,3,0.000317729,estc
"Ascham, Roger, 1515-1568.",Ascham,Roger,,1515,1568,,,,,,,3,0.000317729,estc
"Jones, Rowland, 1722-1774.",Jones,Rowland,,1722,1774,,,,,,,3,0.000317729,estc
"Parker, Samuel, 1640-1688.",Parker,Samuel,,1640,1688,,,,,,,3,0.000317729,estc
"Boyse, Samuel, 1708-1749.",Boyse,Samuel,,1708,1749,,,,,,,3,0.000317729,estc
"Parr, Samuel, 1747-1825.",Parr,Samuel,,1747,1825,,,,,,,3,0.000317729,estc
"Rogers, Samuel, 1763-1855.",Rogers,Samuel,,1763,1855,,,,,,,3,0.000317729,estc
"Henshall, Samuel, 1764?-1807.",Henshall,Samuel,, 1764?,1807,,,,,,,3,0.000317729,estc
"Colliber, Samuel, fl. 1718-1737.",Colliber,Samuel,, fl. 1718,1737,,,,,,,3,0.000317729,estc
"Baldwin, Samuel.",Baldwin,Samuel,,,,,,,,,,3,0.000317729,estc
"Patrick, Simon, 1626-1707.",Patrick,Simon,,1626,1707,,,,,,,3,0.000317729,estc
"Lowe, Solomon, d. 1750.",Lowe,Solomon,,,1750,,,,,,,3,0.000317729,estc
"Burrell, Sophia, Lady, 1750?-1802.",Burrell,Sophia,, 1750?,1802,,,,,,,3,0.000317729,estc
"Marshall, Stephen, 1594?-1655.",Marshall,Stephen,, 1594?,1655,,,,,,,3,0.000317729,estc
"Switzer, Stephen, 1682?-1745.",Switzer,Stephen,, 1682?,1745,,,,,,,3,0.000317729,estc
"White, Stephen, b. 1696 or 7.",White,Stephen,,1696 or 7.,,,,,,,,3,0.000317729,estc
"O'Halloran, Sylvester, 1728-1807.",O'Halloran,Sylvester,,1728,1807,,,,,,,3,0.000317729,estc
"Glenbervie, Sylvester Douglas, Baron, 1743-1823.",Douglas,Sylvester,,1743,1823,,,,,,,3,0.000317729,estc
"Wilkinson, Tate, 1739-1803.",Wilkinson,Tate,,1739,1803,,,,,,,3,0.000317729,estc
"Henry, the Minstrel, fl. 1470-1492.",Henry,the Minstrel,, fl. 1470,1492,,,,,,,3,0.000317729,estc
"Flatman, Thomas, 1637-1688.",Flatman,Thomas,,1637,1688,,,,,,,3,0.000317729,estc
"Fuller, Thomas, 1654-1734.",Fuller,Thomas,,1654,1734,,,,,,,3,0.000317729,estc
"Salmon, Thomas, 1679-1767.",Salmon,Thomas,,1679,1767,,,,,,,3,0.000317729,estc
"Lediard, Thomas, 1685-1743.",Lediard,Thomas,,1685,1743,,,,,,,3,0.000317729,estc
"Carte, Thomas, 1686-1754.",Carte,Thomas,,1686,1754,,,,,,,3,0.000317729,estc
"West, Thomas, 1720-1779.",West,Thomas,,1720,1779,,,,,,,3,0.000317729,estc
"Gibbons, Thomas, 1720-1785.",Gibbons,Thomas,,1720,1785,,,,,,,3,0.000317729,estc
"Somerville, Thomas, 1741-1830.",Somerville,Thomas,,1741,1830,,,,,,,3,0.000317729,estc
"Hardy, Thomas, 1752-1832,",Hardy,Thomas,,1752,1832,,,,,,,3,0.000317729,estc
"Newcomb, Thomas, 1682?-1765.",Newcomb,Thomas,, 1682?,1765,,,,,,,3,0.000317729,estc
"Ruggles, Thomas, 1737?-1813.",Ruggles,Thomas,, 1737?,1813,,,,,,,3,0.000317729,estc
"Stackhouse, Thomas, ca. 1680-1752.",Stackhouse,Thomas,, ca. 1680,1752,,,,,,,3,0.000317729,estc
"Wotton, Thomas, d. 1766.",Wotton,Thomas,,,1766,,,,,,,3,0.000317729,estc
"Brydson, Thomas.",Brydson,Thomas,,,,,,,,,,3,0.000317729,estc
"Webster, W. 1689-1758.",Webster,W,,1689,1758,,,,,,,3,0.000317729,estc
"Chetwood, W. R. d. 1766.",Chetwood,W R,,,1766,,,,,,,3,0.000317729,estc
"Moyle, Walter, 1672-1721.",Moyle,Walter,,1672,1721,,,,,,,3,0.000317729,estc
"Allen, William, 1532-1594.",Allen,William,,1532,1594,,,,,,,3,0.000317729,estc
"Petty, William, Sir, 1623-1687.",Petty,William,,1623,1687,,,,,,,3,0.000317729,estc
"Cave, William, 1637-1713.",Cave,William,,1637,1713,,,,,,,3,0.000317729,estc
"Congreve, William, 1670-1729.",Congreve,William,,1670,1729,,,,,,,3,0.000317729,estc
"Pittis, William, 1674-1724.",Pittis,William,,1674,1724,,,,,,,3,0.000317729,estc
"Somerville, William, 1675-1742.",Somerville,William,,1675,1742,,,,,,,3,0.000317729,estc
"Berriman, William, 1688-1750.",Berriman,William,,1688,1750,,,,,,,3,0.000317729,estc
"Borlase, William, 1695-1772.",Borlase,William,,1695,1772,,,,,,,3,0.000317729,estc
"Bowyer, William, 1699-1777.",Bowyer,William,,1699,1777,,,,,,,3,0.000317729,estc
"Parker, William, 1714-1802.",Parker,William,,1714,1802,,,,,,,3,0.000317729,estc
"Duncan, William, 1717-1760.",Duncan,William,,1717,1760,,,,,,,3,0.000317729,estc
"Jones, William, 1726-1800.",Jones,William,,1726,1800,,,,,,,3,0.000317729,estc
"Hutchinson, William, 1732-1814.",Hutchinson,William,,1732,1814,,,,,,,3,0.000317729,estc
"Smellie, William, 1740-1795.",Smellie,William,,1740,1795,,,,,,,3,0.000317729,estc
"Auckland, William Eden, Baron, 1744-1814.",Eden,William,,1744,1814,,,,,,,3,0.000317729,estc
"Shaw, William, 1749-1831.",Shaw,William,,1749,1831,,,,,,,3,0.000317729,estc
"Gifford, William, 1756-1826.",Gifford,William,,1756,1826,,,,,,,3,0.000317729,estc
"Bingfield, William, pseud.",Bingfield,William,,,,,,,,,,3,0.000317729,estc
"Leake, William.",Leake,William,,,,,,,,,,3,0.000317729,estc
"Grey, Zachary, 1688-1766.",Grey,Zachary,,1688,1766,,,,,,,3,0.000317729,estc
"Athenian Society (London, England)",,"Athenian Society (London, England)",,,,,,,,,,3,0.000317729,estc
"MolieÌ€re, 1622-1673.",,MolieÌ€re,,1622,1673,,,,,,,3,0.000317729,estc
"Athenagoras, 2nd cent.",,Athenagoras,, 2nd cent.,,,,,,,,3,0.000317729,estc
W. G. fl. 1740.,,W G,,fl. 1740,,,,,,,,3,0.000317729,estc
"Ê»InÄyat AllÄh, d. ca. 1671.",,Ê»InÄyat AllÄh,,,1671,,,,,,,3,0.000317729,estc
Great Britain. Parliament. House of Commons. Committee of Secrecy.,,Great Britain Parliament House of Commons Committee of Secrecy,,,,,,,,,,3,0.000317729,estc
Herodotus.,,Herodotus,,,,,,,,,,3,0.000317729,estc
Livy.,,Livy,,,,,,,,,,3,0.000317729,estc
Royal Society (Great Britain),,Royal Society (Great Britain),,,,,,,,,,3,0.000317729,estc
Sophocles.,,Sophocles,,,,,,,,,,3,0.000317729,estc
Terence.,,Terence,,,,,,,,,,3,0.000317729,estc
United States. Dept. of the Treasury.,,United States Dept of the Treasury,,,,,,,,,,3,0.000317729,estc
"Willich, A. F. M.",Willich,A F M,,,,,,,,,,2,0.00021182,estc
"Des Carrieres, A. J.",Des Carrieres,A J,,,,,,,,,,2,0.00021182,estc
"A. W. L. L., A. W. Virginian, pseud.",A W L L,A W Virginian,,,,,,,,,,2,0.00021182,estc
"Rhames, Aaron, d. 1734.",Rhames,Aaron,,,1734,,,,,,,2,0.00021182,estc
"Vertot, abbé de, 1655-1735.",Vertot,abbé de,,1655,1735,,,,,,,2,0.00021182,estc
"Chappe d'Auteroche, abbé, 1728-1769.",Chappe d'Auteroche,abbé,,1728,1769,,,,,,,2,0.00021182,estc
"Tucker, Abraham, 1705-1774.",Tucker,Abraham,,1705,1774,,,,,,,2,0.00021182,estc
"Portal, Abraham, 1726-1809.",Portal,Abraham,,1726,1809,,,,,,,2,0.00021182,estc
"Stanyan, Abraham, 1669?-1732.",Stanyan,Abraham,, 1669?,1732,,,,,,,2,0.00021182,estc
"Taylor, Abraham, fl. 1727-1740.",Taylor,Abraham,, fl. 1727,1740,,,,,,,2,0.00021182,estc
"Batty, Adam",Batty,Adam,,,,,,,,,,2,0.00021182,estc
"Gordon, Adam. Sir",Gordon,Adam Sir,,,,,,,,,,2,0.00021182,estc
"Brome, Alexander, 1620-1666.",Brome,Alexander,,1620,1666,,,,,,,2,0.00021182,estc
"Malcolm, Alexander, 1685-1763.",Malcolm,Alexander,,1685,1763,,,,,,,2,0.00021182,estc
"Catcott, Alexander, 1725-1779.",Catcott,Alexander,,1725,1779,,,,,,,2,0.00021182,estc
"Geddes, Alexander, 1737-1802.",Geddes,Alexander,,1737,1802,,,,,,,2,0.00021182,estc
"Knox, Alexander, 1757-1831.",Knox,Alexander,,1757,1831,,,,,,,2,0.00021182,estc
"Wight, Alexander, d. 1793.",Wight,Alexander,,,1793,,,,,,,2,0.00021182,estc
"Ewing, Alexander, d. 1804.",Ewing,Alexander,,,1804,,,,,,,2,0.00021182,estc
"Hewatt, Alexander.",Hewatt,Alexander,,,,,,,,,,2,0.00021182,estc
"Ahmad ibn Muhammad ibn Abd al-Ghaffar, al-Kazwini al-Ghifari.",Ahmad ibn Muhammad ibn Abd al-Ghaffar,al-Kazwini al-Ghifari,,,1567,,,,,,,2,0.00021182,estc
"Bushe, Amyas, d. 1773.",Bushe,Amyas,,,1773,,,,,,,2,0.00021182,estc
"Brown, Andrew, of Glasgow.",Brown,Andrew,,,,,,,,,,2,0.00021182,estc
"Dalzel, Andrew",Dalzel,Andrew,,,,,,,,,,2,0.00021182,estc
"Ducarel, Andrew Coltee, 1713-1785.",Ducarel,Andrew Coltee,,1713,1785,,,,,,,2,0.00021182,estc
"Murry, Ann, 18th cent.",Murry,Ann,, 18th cent.,,,,,,,,2,0.00021182,estc
"Miller, Anna Riggs, Lady, 1741-1781.",Miller,Anna Riggs,,1741,1781,,,,,,,2,0.00021182,estc
"Bayly, Anselm, d 1794.",Bayly,Anselm,,,1794,,,,,,,2,0.00021182,estc
"Horneck, Anthony, 1641-1697.",Horneck,Anthony,,1641,1697,,,,,,,2,0.00021182,estc
"Benezet, Anthony, 1713-1784.",Benezet,Anthony,,1713,1784,,,,,,,2,0.00021182,estc
"Behn, Aphra, 1640-1689.",Behn,Aphra,,1640,1689,,,,,,,2,0.00021182,estc
"Alison, Archibald, 1757-1839.",Alison,Archibald,,1757,1839,,,,,,,2,0.00021182,estc
"Hutcheson, Archibald, ca. 1659-1740.",Hutcheson,Archibald,, ca. 1659,1740,,,,,,,2,0.00021182,estc
"Kinloch, Archibald Gordon, Sir, d. 1800,",Kinloch,Archibald Gordon,,,1800,,,,,,,2,0.00021182,estc
"Patoun, Archibald.",Patoun,Archibald,,,,,,,,,,2,0.00021182,estc
"Ahmad, Ardabili",Ahmad,Ardabili,,,,,,,,,,2,0.00021182,estc
"Davila, Arrigo Caterino, 1576-1631.",Davila,Arrigo Caterino,,1576,1631,,,,,,,2,0.00021182,estc
"Francke, August Hermann, 1663-1727.",Francke,August Hermann,,1663,1727,,,,,,,2,0.00021182,estc
"Grafton, Augustus Henry Fitzroy, Duke of, 1735-1811.",Fitzroy,Augustus Henry,,1735,1811,,,,,,,2,0.00021182,estc
"Cronstedt, Axel Fredrik, 1722-1765.",Cronstedt,Axel Fredrik,,1722,1765,,,,,,,2,0.00021182,estc
"Leonardo de Argensola, Bartolomé, 1562-1631.",Leonardo de Argensola,Bartolomé,,1562,1631,,,,,,,2,0.00021182,estc
"Saint-Pierre, Bernardin de, 1737-1814.",Saint-Pierre,Bernardin de,,1737,1814,,,,,,,2,0.00021182,estc
"Varenius, Bernhardus, 1622-1650.",Varenius,Bernhardus,,1622,1650,,,,,,,2,0.00021182,estc
"Walmesley, C. 1722-1797.",Walmesley,C,,1722,1797,,,,,,,2,0.00021182,estc
"Este, C. 1753-1829.",Este,C,,1753,1829,,,,,,,2,0.00021182,estc
"Volney, C.-F. 1757-1820.",Volney,C-F,,1757,1820,,,,,,,2,0.00021182,estc
"Colden, Cadwallader, 1688-1776.",Colden,Cadwallader,,1688,1776,,,,,,,2,0.00021182,estc
"Gulliver, Capt. Lemuel.",Gulliver,Capt Lemuel,,,,,,,,,,2,0.00021182,estc
"Linné, Carl von, 1707-1778.",Linné,Carl von,,1707,1778,,,,,,,2,0.00021182,estc
"Denina, Carlo, 1731-1813.",Denina,Carlo,,1731,1813,,,,,,,2,0.00021182,estc
"Freschot, Casimir 1640?-1720.",Freschot,Casimir,,1640?,1720,,,,,,,2,0.00021182,estc
"Macaulay, Catharine, 1731-1791.",Macaulay,Catharine,,1731,1791,,,,,,,2,0.00021182,estc
"Talbot, Catherine, 1721-1770.",Talbot,Catherine,,1721,1770,,,,,,,2,0.00021182,estc
"Huntingtower, Catherine Rebecca Grey Talmash, Baroness, 1766 or 7-1852.",Talmash,Catherine Rebecca Grey,, 1766 or 7,1852,,,,,,,2,0.00021182,estc
"Drelincourt, Charles, 1595-1669.",Drelincourt,Charles,,1595,1669,,,,,,,2,0.00021182,estc
"Marshall, Charles, 1637-1698.",Marshall,Charles,,1637,1698,,,,,,,2,0.00021182,estc
"Norfolk, Charles Howard, Duke of, 1720-1786.",Howard,Charles,,1720,1786,,,,,,,2,0.00021182,estc
"Liverpool, Charles Jenkinson, Earl of, 1727-1808.",Jenkinson,Charles,,1727,1808,,,,,,,2,0.00021182,estc
"Cornwallis, Charles Cornwallis, Marquis, 1738-1805.",Cornwallis,Charles,,1738,1805,,,,,,,2,0.00021182,estc
"Butler, Charles, 1750-1832.",Butler,Charles,,1750,1832,,,,,,,2,0.00021182,estc
